Frame,Pillar1,Pillar2,Pillar3
1,1.2227,0.8681,0.3773
2,1.2223,0.8699,0.3756
3,1.2213,0.8749,0.3706
4,1.2199,0.8829,0.3628
5,1.2182,0.8936,0.3526
6,1.2165,0.9066,0.3405
7,1.2151,0.9217,0.3268
8,1.2141,0.9386,0.312
9,1.2138,0.9568,0.2966
10,1.2143,0.9761,0.2809
11,1.2158,0.9961,0.2655
12,1.2183,1.0164,0.2505
13,1.2219,1.0366,0.2363
14,1.2267,1.0564,0.223
15,1.2327,1.0753,0.2106
16,1.2399,1.0931,0.199
17,1.2482,1.1092,0.188
18,1.2575,1.1233,0.1774
19,1.268,1.1352,0.1667
20,1.2795,1.1444,0.1556
21,1.2918,1.1517,0.1441
22,1.3049,1.1579,0.1324
23,1.3185,1.1632,0.1207
24,1.3324,1.1675,0.1095
25,1.3467,1.1709,0.0994
26,1.3612,1.1735,0.0914
27,1.3758,1.1751,0.0866
28,1.3904,1.176,0.0858
29,1.4049,1.176,0.0897
30,1.4191,1.1751,0.098
31,1.4331,1.1735,0.1098
32,1.4466,1.171,0.1244
33,1.4595,1.1676,0.1408
34,1.4719,1.1634,0.1586
35,1.4835,1.1582,0.1773
36,1.4942,1.1521,0.1965
37,1.504,1.145,0.2162
38,1.5127,1.1368,0.236
39,1.5202,1.1275,0.2558
40,1.5264,1.117,0.2756
41,1.5301,1.1043,0.2952
42,1.5306,1.0886,0.3143
43,1.528,1.0701,0.3333
44,1.5226,1.0489,0.3525
45,1.5148,1.0254,0.3721
46,1.5049,0.9997,0.3924
47,1.493,0.972,0.4134
48,1.4795,0.9426,0.4354
49,1.4647,0.9117,0.4584
50,1.4488,0.8795,0.4824
51,1.4321,0.8463,0.5074
52,1.4148,0.8123,0.5333
53,1.3972,0.7778,0.56
54,1.3795,0.7431,0.5872
55,1.3619,0.7084,0.6149
56,1.3447,0.6738,0.6428
57,1.3279,0.6398,0.6706
58,1.3119,0.6066,0.6982
59,1.2968,0.5744,0.7253
60,1.2826,0.5434,0.7516
61,1.2695,0.514,0.7769
62,1.2574,0.486,0.8011
63,1.2463,0.4594,0.8244
64,1.2362,0.4342,0.8466
65,1.2268,0.4104,0.8679
66,1.2183,0.3877,0.8882
67,1.2106,0.3663,0.9076
