Frame,Pillar1,Pillar2,Pillar3
1,1.3417,1.1972,0.0994
2,1.3407,1.1966,0.1003
3,1.3377,1.1946,0.1028
4,1.3327,1.1914,0.1071
5,1.3259,1.1871,0.113
6,1.3173,1.1816,0.1206
7,1.307,1.175,0.1299
8,1.2951,1.1675,0.1409
9,1.2816,1.1591,0.1535
10,1.2666,1.1499,0.1677
11,1.2501,1.1399,0.1834
12,1.2323,1.1293,0.2006
13,1.2132,1.1181,0.2191
14,1.1928,1.1065,0.239
15,1.1713,1.0944,0.2601
16,1.1488,1.0821,0.2823
17,1.1252,1.0695,0.3055
18,1.1007,1.0569,0.3298
19,1.0753,1.0443,0.355
20,1.0491,1.0318,0.3811
21,1.0222,1.0195,0.4079
22,0.9946,1.0074,0.4354
23,0.9665,0.9958,0.4635
24,0.9378,0.9846,0.4922
25,0.9087,0.974,0.5213
26,0.8792,0.9641,0.5509
27,0.8495,0.9549,0.5807
28,0.8195,0.9465,0.6109
29,0.7893,0.9389,0.6412
30,0.7591,0.9323,0.6716
31,0.7289,0.9266,0.7021
32,0.6987,0.9219,0.7326
33,0.6687,0.9182,0.7629
34,0.6388,0.9155,0.7931
35,0.6093,0.9138,0.8231
36,0.5801,0.9131,0.8527
37,0.5514,0.9134,0.882
38,0.5231,0.9145,0.9108
39,0.4955,0.9166,0.9391
40,0.4685,0.9194,0.9668
41,0.4423,0.923,0.9938
42,0.4169,0.9272,1.0201
43,0.3923,0.9319,1.0456
44,0.3688,0.9372,1.0702
45,0.3463,0.9428,1.0938
46,0.3249,0.9487,1.1165
47,0.3048,0.9548,1.1381
48,0.2859,0.961,1.1585
49,0.2683,0.9672,1.1776
50,0.2522,0.9732,1.1955
51,0.2376,0.9791,1.212
52,0.2244,0.9846,1.2271
53,0.2128,0.9898,1.2407
54,0.2028,0.9945,1.2527
55,0.1943,0.9986,1.263
56,0.1875,1.0022,1.2716
57,0.1821,1.005,1.2785
58,0.1784,1.0071,1.2834
59,0.1762,1.0084,1.2865
60,0.1755,1.0089,1.2875
61,0.1762,1.0081,1.2873
62,0.1779,1.0059,1.2866
63,0.1807,1.0023,1.2855
64,0.1846,0.9973,1.284
65,0.1895,0.9909,1.282
66,0.1956,0.9833,1.2797
67,0.2028,0.9744,1.2771
68,0.2111,0.9644,1.2741
69,0.2205,0.9532,1.2708
70,0.231,0.9409,1.2673
71,0.2427,0.9276,1.2636
72,0.2554,0.9132,1.2596
73,0.2692,0.898,1.2556
74,0.284,0.8818,1.2514
75,0.2998,0.8648,1.2471
76,0.3164,0.847,1.2428
77,0.334,0.8284,1.2385
78,0.3524,0.8091,1.2342
79,0.3715,0.7892,1.23
80,0.3914,0.7686,1.2259
81,0.4119,0.7475,1.2219
82,0.433,0.7259,1.2181
83,0.4547,0.7038,1.2145
84,0.4769,0.6813,1.211
85,0.4995,0.6584,1.2078
86,0.5225,0.6352,1.2048
87,0.5459,0.6118,1.202
