Frame,Pillar1,Pillar2,Pillar3
1,-116.5631,-169.8066,73.1749
2,-116.4731,-169.7573,73.0869
3,-116.2072,-169.6121,72.8479
4,-115.7713,-169.3745,72.5187
5,-115.1714,-169.0488,72.1784
6,-114.4133,-168.6398,71.9061
7,-113.5028,-168.1521,71.7683
8,-112.4458,-167.5911,71.8125
9,-111.248,-166.9621,72.0658
10,-109.9152,-166.2709,72.5387
11,-108.4531,-165.5234,73.2296
12,-106.8673,-164.7254,74.1293
13,-105.1634,-163.8834,75.2241
14,-103.3472,-163.0033,76.4991
15,-101.4241,-162.0915,77.9386
16,-99.3996,-161.1541,79.5278
17,-97.2794,-160.1972,81.2529
18,-95.0687,-159.2267,83.1007
19,-92.773,-158.2484,85.0596
20,-90.3977,-157.2675,87.1185
21,-87.948,-156.2891,89.2673
22,-85.4292,-155.3178,91.4965
23,-82.8464,-154.3577,93.7972
24,-80.2049,-153.4121,96.1613
25,-77.5096,-152.4841,98.5805
26,-74.7656,-151.5757,101.0474
27,-71.9777,-150.6884,103.5547
28,-69.1508,-149.8229,106.0951
29,-66.2898,-148.9792,108.6617
30,-63.3993,-148.1566,111.2479
31,-60.484,-147.3538,113.847
32,-57.5487,-146.5689,116.4524
33,-54.5981,-145.7997,119.0577
34,-51.637,-145.0435,121.6567
35,-48.6705,-144.2977,124.2429
36,-45.7041,-143.5594,126.8102
37,-42.7436,-142.826,129.3524
38,-39.7963,-142.0952,131.8633
39,-36.8707,-141.3649,134.3369
40,-33.9778,-140.6339,136.7671
41,-31.1323,-139.9012,139.1477
42,-28.3546,-139.1665,141.4729
43,-25.6738,-138.4304,143.7365
44,-23.1322,-137.6938,145.9326
45,-20.7912,-136.9586,148.0551
46,-18.7387,-136.227,150.0981
47,-17.093,-135.502,152.0556
48,-15.9933,-134.7869,153.9217
49,-15.5649,-134.0854,155.6904
50,-15.8616,-133.4017,157.3557
51,16.8287,-132.7399,158.9119
52,18.3238,-132.1047,160.3529
53,20.1698,-131.5004,161.6729
54,22.1935,-130.9317,162.8662
55,24.2405,-130.4029,163.927
56,26.1752,-129.9184,164.8497
57,27.8787,-129.4823,165.6287
58,29.249,-129.0982,166.2585
59,30.2023,-128.7696,166.7337
60,30.6772,-128.4994,167.049
61,30.9465,-128.2692,167.2467
62,31.3125,-128.0585,167.3738
63,31.7793,-127.8661,167.4329
64,32.3513,-127.6916,167.4258
65,33.0303,-127.5341,167.3546
66,33.813,-127.393,167.2211
67,34.69,-127.2678,167.0268
68,35.6462,-127.158,166.7736
69,36.6627,-127.063,166.463
70,37.7183,-126.9823,166.0965
71,38.7918,-126.9154,165.6756
72,39.8639,-126.8619,165.2019
73,40.9176,-126.8214,164.6769
74,41.9394,-126.7933,164.1022
75,42.9187,-126.7773,163.4793
76,43.8482,-126.7727,162.8101
77,44.7231,-126.7791,162.0962
78,45.5406,-126.796,161.3394
79,46.2998,-126.8225,160.5417
80,47.0008,-126.8582,159.7051
81,47.6448,-126.9022,158.8318
82,48.2335,-126.9536,157.9238
83,48.7692,-127.0114,156.9835
84,49.2542,-127.0745,156.0132
85,49.6911,-127.1415,155.0155
86,50.0821,-127.2108,153.9928
87,50.4299,-127.2805,152.9477
88,50.7367,-127.3485,151.8828
89,51.0048,-127.4119,150.8009
90,51.2361,-127.4677,149.7046
91,51.4326,-127.512,148.5967
92,51.5959,-127.5401,147.4799
93,51.7278,-127.5462,146.3569
94,51.8296,-127.5235,145.2303
95,51.9025,-127.4631,144.1027
96,51.9478,-127.3546,142.9767
97,51.9664,-127.1845,141.8547
98,51.9592,-126.9362,140.7391
99,51.927,-126.5887,139.6322
100,51.8705,-126.1155,138.5361
101,51.79,-125.4828,137.4529
102,51.6862,-124.6477,136.3846
103,51.5592,-123.5551,135.3328
104,51.4095,-122.135,134.2994
105,51.237,-120.2988,133.286
106,51.0418,-117.9362,132.2939
107,50.8239,-114.9145,131.3245
108,50.5831,-111.084,130.3792
109,50.3192,-106.2966,129.459
110,50.0318,-100.4473,128.5652
111,49.7205,-93.5415,127.6986
112,49.3847,-85.7708,126.8603
113,49.0239,-77.5391,126.0512
114,48.6373,-69.3807,125.2722
115,48.2239,-61.7947,124.5242
116,47.7828,-55.1056,123.8081
117,47.3129,-49.4349,123.1248
118,46.8129,-44.7568,122.4753
119,46.2813,-40.9741,121.8606
120,45.7167,-37.9718,121.2819
121,45.1086,-35.6389,120.7274
122,44.4467,-33.8764,120.1817
123,43.7287,-32.6083,119.6402
124,42.9523,-31.7737,119.0986
125,42.1153,-31.3216,118.5528
126,41.2154,-31.2076,117.9986
127,40.2505,-31.3913,117.4322
128,39.2182,-31.8359,116.8497
129,38.1165,-32.5072,116.2474
130,36.9431,-33.3746,115.6219
131,35.6961,-34.411,114.9696
132,34.3737,-35.5927,114.2872
133,32.9739,-36.8999,113.5715
134,31.4952,-38.316,112.8193
135,29.9361,-39.8278,112.0277
136,28.2955,-41.4247,111.1938
137,26.5725,-43.0986,110.3149
138,24.7667,-44.8436,109.3882
139,22.8783,-46.6555,108.4115
140,20.9084,-48.5315,107.3823
141,18.8595,-50.4703,106.2985
142,16.7365,-52.4713,105.1582
143,14.5486,-54.5351,103.9596
144,12.3134,-56.6626,102.7013
145,10.0675,-58.8555,101.3819
146,7.8934,-61.1159,100.0006
147,5.9991,-63.4462,98.5568
148,4.8986,-65.8491,97.0503
149,-5.2914,-68.3277,95.4813
150,-7.0525,-70.8849,93.8507
151,-9.5412,-73.5241,92.1598
152,-12.4012,-76.2486,90.4109
153,-15.4912,-79.0619,88.6068
154,-18.7526,-81.9672,86.7516
155,-22.1579,-84.9682,84.8504
156,-25.6933,-88.0683,82.9094
157,-29.3513,-91.2711,80.9368
158,-33.1276,-94.5799,78.9421
159,-37.0198,-97.9981,76.9371
160,-41.0268,-101.5293,74.9354
161,-45.148,-105.1767,72.9533
162,-49.3835,-108.9437,71.0089
163,-53.7335,-112.8334,69.1226
164,-58.1988,-116.8489,67.3161
165,-62.7801,-120.9934,65.6114
166,-67.4783,-125.2696,64.0288
167,-72.2947,-129.6801,62.5844
168,-77.2302,-134.2274,61.2868
169,-82.2862,-138.9133,60.1332
170,-87.4638,-143.7389,59.1061
171,-92.7645,-148.704,58.1705
172,-98.1894,-153.8054,57.2747
173,-103.7398,-159.0336,56.3528
174,-109.4168,-164.361,55.3316
175,-115.2217,-169.6939,54.1405
176,-121.1551,-174.5335,52.7229
177,-127.2177,175.3936,51.0503
178,-133.4096,170.7186,49.1371
179,-139.7303,164.8062,47.058
180,-146.1775,158.5105,44.9685
181,-152.7365,151.9654,43.0565
182,-159.3609,145.2303,41.6175
183,-165.9728,138.3567,-41.0807
184,-172.3442,131.3884,-41.8367
185,-176.4519,124.3656,-44.106
186,172.3931,117.3272,-47.8665
187,166.1536,110.3111,-52.898
188,159.7617,103.355,-58.8894
189,153.4465,96.4962,-65.5297
190,147.2867,89.7722,-72.5506
191,141.333,83.2204,-79.7368
192,135.6274,76.8781,-86.9208
193,130.2088,70.783,-93.9737
194,125.1145,64.9726,-100.7961
195,120.381,59.485,-107.3099
196,116.0443,54.3581,-113.4526
197,112.1398,49.6298,-119.1729
198,108.7029,45.3383,-124.4271
199,105.7683,41.5212,-129.1773
200,103.3706,38.2154,-133.3892
201,101.3552,35.272,-137.2093
202,99.5402,32.5187,-140.81
203,97.919,29.9573,-144.1989
204,96.4849,27.5906,-147.3834
205,95.2305,25.4228,-150.3706
206,94.1483,23.4595,-153.1672
207,93.2305,21.708,-155.7792
208,92.4691,20.1766,-158.2121
209,91.8556,18.8743,-160.4704
210,91.3814,17.8101,-162.558
211,91.0378,16.9911,-164.4773
212,90.8159,16.4212,-166.2299
213,90.7066,16.0999,-167.8154
214,90.7009,16.0215,-169.2319
215,90.7897,16.1759,-170.4758
216,90.9641,16.5505,-171.5414
217,91.2152,17.1327,-172.4231
218,91.5343,17.9123,-173.1163
219,91.9128,18.8833,-173.6217
220,92.3426,20.0453,-173.9488
