Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
120,5.8422,5.7618,0.3441,7.4541,10.3028
121,5.9082,5.8079,0.2913,7.3868,10.242
122,5.9819,5.8595,0.242,7.3116,10.1738
123,6.065,5.9173,0.2079,7.2263,10.0961
124,6.1571,5.9814,0.2096,7.1314,10.0095
125,6.2575,6.0515,0.2567,7.0276,9.9145
126,6.3658,6.1277,0.3381,6.9156,9.8117
127,6.4815,6.2096,0.4407,6.7958,9.7019
128,6.604,6.2973,0.5573,6.6689,9.5856
129,6.7327,6.3904,0.684,6.5355,9.4633
130,6.8672,6.4888,0.8188,6.3962,9.3358
131,7.0069,6.5921,0.9602,6.2516,9.2036
132,7.1512,6.7001,1.1072,6.1024,9.0674
133,7.2996,6.8125,1.2589,5.949,8.9278
134,7.4515,6.9289,1.4144,5.7921,8.7853
135,7.6064,7.0488,1.5732,5.6324,8.6406
136,7.7636,7.172,1.7345,5.4703,8.4943
137,7.9226,7.2978,1.8976,5.3066,8.347
138,8.0829,7.4259,2.062,5.1418,8.1993
139,8.2438,7.5558,2.2269,4.9765,8.0518
140,8.4047,7.6869,2.3918,4.8113,7.9051
141,8.5651,7.8188,2.5561,4.6469,7.7598
142,8.7244,7.9507,2.719,4.4838,7.6164
143,8.882,8.0823,2.8802,4.3226,7.4756
144,9.0372,8.213,3.0388,4.164,7.3378
145,9.1896,8.3421,3.1943,4.0086,7.2036
146,9.3385,8.469,3.3461,3.8568,7.0736
147,9.4832,8.5933,3.4936,3.7095,6.9482
148,9.6233,8.7142,3.6362,3.5671,6.828
149,9.7581,8.8312,3.7733,3.4302,6.7135
150,9.887,8.9438,3.9042,3.2996,6.6051
151,10.0095,9.0513,4.0286,3.1755,6.5031
152,10.1259,9.1539,4.1465,3.0579,6.4074
153,10.2363,9.2517,4.2584,2.9465,6.3175
154,10.3411,9.3448,4.3644,2.841,6.2331
155,10.4405,9.4335,4.465,2.741,6.1538
156,10.5349,9.5179,4.5603,2.6462,6.0794
157,10.6244,9.5983,4.6507,2.5564,6.0094
158,10.7094,9.6747,4.7366,2.4711,5.9435
159,10.7902,9.7475,4.8182,2.3902,5.8813
160,10.8671,9.8169,4.8958,2.3133,5.8226
161,10.9403,9.883,4.9698,2.24,5.767
162,11.0101,9.9461,5.0403,2.1701,5.7142
163,11.0769,10.0064,5.1079,2.1033,5.6639
164,11.1409,10.0641,5.1727,2.0392,5.6157
165,11.2023,10.1196,5.235,1.9775,5.5693
166,11.2616,10.173,5.2952,1.9178,5.5245
167,11.319,10.2245,5.3536,1.86,5.481
168,11.3747,10.2744,5.4104,1.8036,5.4384
169,11.4292,10.323,5.4661,1.7484,5.3964
170,11.4825,10.3704,5.5208,1.694,5.3549
171,11.5352,10.417,5.5749,1.6401,5.3134
172,11.5873,10.463,5.6287,1.5863,5.2718
173,11.6394,10.5086,5.6825,1.5325,5.2297
174,11.6915,10.5541,5.7367,1.4782,5.187
175,11.7441,10.5998,5.7915,1.4231,5.1433
176,11.7974,10.6458,5.8472,1.367,5.0983
177,11.8518,10.6925,5.9042,1.3095,5.0519
178,11.9074,10.7402,5.9627,1.2503,5.0038
179,11.9647,10.7891,6.0231,1.189,4.9537
180,12.0239,10.8394,6.0857,1.1255,4.9015
181,12.0853,10.8914,6.1508,1.0594,4.8468
182,12.1493,10.9455,6.2187,0.9904,4.7895
183,12.2161,11.0019,6.2898,0.9182,4.7294
