Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
0,8.2695,44.8846,-22.3807,-11.0604,2.5619
1,8.2695,44.8846,-22.3807,-11.0604,2.5619
2,7.8851,44.7105,-22.5939,-11.2494,2.3814
3,7.0573,44.2068,-23.2127,-11.7968,1.8614
4,-7.1331,43.4017,-24.2058,-12.6736,1.0535
5,-10.2509,42.3232,-25.5424,-13.8509,-0.4753
6,-16.9695,40.9992,-27.1918,-15.2997,-1.6474
7,-27.1385,39.4577,-29.1231,-16.9912,-3.2558
8,-40.7948,37.7265,-31.306,-18.8963,-5.0888
9,-57.324,35.8336,-33.7097,-20.9864,-7.1042
10,-74.7854,33.8068,-36.3039,-23.2325,-9.2705
11,-90.799,31.674,-39.0579,-25.6059,-11.5584
12,-104.1218,29.4634,-41.9411,-28.0776,-13.9388
13,-114.7904,27.2031,-44.9227,-30.6188,-16.3831
14,-123.3538,24.9211,-47.972,-33.2007,-18.8627
15,-130.366,22.646,-51.0581,-35.7943,-21.3492
16,-136.2446,20.4062,-54.1496,-38.3706,-23.814
17,-141.2752,18.2307,-57.2155,-40.9008,-26.2286
18,-145.6458,16.1484,-60.2242,-43.3557,-28.5645
19,-149.4782,14.189,-63.1442,-45.7063,-30.7929
20,-152.8497,12.3824,-65.9436,-47.9234,-32.8852
21,-155.814,10.7534,-68.5966,-49.9839,-34.8188
22,-158.4284,9.3035,-71.1011,-51.8884,-36.5948
23,-160.7422,8.0298,-73.461,-53.6434,-38.2201
24,-162.7944,6.9301,-75.6801,-55.2554,-39.7018
25,-164.6173,6.0042,-77.762,-56.7309,-41.0468
26,-166.2377,5.2535,-79.7104,-58.0763,-42.2619
27,-167.6787,4.6815,-81.5291,-59.2978,-43.3539
28,-168.9606,4.2942,-83.2217,-60.4019,-44.3297
29,-170.1014,4.1005,-84.7918,-61.3947,-45.1958
30,-171.1178,4.1132,-86.2434,-62.2823,-45.9589
31,-172.025,4.3508,-87.5802,-63.071,-46.6257
32,-172.8373,4.8397,-88.8062,-63.7667,-47.2026
33,-173.5683,5.6161,-89.9252,-64.3756,-47.6962
34,-174.2311,6.7263,-90.9415,-64.9036,-48.1128
35,-174.8383,8.2257,-91.859,-65.3567,-48.4589
36,-175.4022,10.1757,-92.682,-65.7408,-48.7408
37,-175.9347,12.6371,-93.4146,-66.0618,-48.965
38,-176.4475,15.6553,-94.0609,-66.3255,-49.1376
39,-176.9516,19.2381,-94.6252,-66.5378,-49.2651
40,-177.457,23.3254,-95.1114,-66.7046,-49.3537
41,-177.881,27.6459,-95.488,-66.7946,-49.3731
42,-178.1401,31.9618,-95.7166,-66.7673,-49.2828
43,-178.2416,36.205,-95.7913,-66.6142,-49.0735
44,-178.1884,40.3269,-95.7059,-66.3266,-48.7363
45,-177.9746,44.3026,-95.4549,-65.8964,-48.2619
46,-177.589,48.1309,-95.0326,-65.3149,-47.6413
47,-177.0215,51.8317,-94.4336,-64.5739,-46.8654
48,-176.2652,55.4418,-93.6523,-63.665,-45.9253
49,-175.3156,59.011,-92.6836,-62.5801,-44.8117
50,-174.1689,62.5975,-91.5221,-61.3107,-43.5158
51,-172.8213,66.2655,-90.1628,-59.8486,-42.0285
52,-171.2685,70.082,-88.6003,-58.1856,-40.3409
53,-169.5061,74.1151,-86.8296,-56.3134,-38.4438
54,-167.5291,78.432,-84.8456,-54.2238,-36.3284
55,-165.3322,83.0972,-82.6434,-51.9086,-33.9856
56,-162.9103,88.1702,-80.2179,-49.3597,-31.4065
57,-160.2574,93.7031,-77.5642,-46.5688,-28.5822
58,-157.3678,99.7373,-74.6775,-43.5278,-25.5037
59,-154.2349,106.2997,-71.5529,-40.2286,-22.1621
60,-150.8522,113.3998,-68.186,-36.6631,-18.5489
61,-147.4038,120.4045,-64.5375,-32.7842,-14.6137
62,-144.0883,126.5494,-60.6066,-28.5853,-10.3488
63,-140.9242,131.8745,-56.4451,-24.1183,-5.812
64,-137.9321,136.5862,-52.1038,-19.4348,-1.1487
65,-135.134,140.9025,-47.6324,-14.5861,3.9722
66,-132.5506,144.985,-43.0802,-9.6234,9.02
67,-130.2008,148.9285,-38.4956,-4.5992,14.1517
68,-128.1004,152.7745,-33.9265,0.5179,19.3027
69,-126.2616,156.5272,-29.4203,5.4592,24.4185
70,-124.6936,160.1671,-25.0238,10.3721,29.4453
71,-123.403,163.6602,-20.7833,15.1473,34.3297
72,-122.3952,166.964,-16.7445,19.7321,39.0178
73,-121.6758,170.0313,-12.9527,24.0741,43.4554
74,-121.2528,172.8117,-9.4525,28.1204,47.5877
75,-121.1373,175.2531,-6.2885,31.8177,51.3597
76,-121.3452,177.2998,-3.5047,35.1118,54.7156
77,-121.8978,178.877,-1.1485,37.9477,57.5993
78,-122.822,-179.6003,0.7661,40.2693,59.9542
79,-124.1495,-179.231,2.1433,42.02,61.7232
80,-125.9171,-179.2431,2.9713,43.142,62.849
81,-127.8274,-179.5047,3.5403,43.9194,63.6166
82,-129.5688,-179.6696,4.1781,44.6741,64.3492
83,-131.1574,179.637,4.8879,45.4043,65.0464
84,-132.6078,179.4652,5.6725,46.1082,65.708
85,-133.9331,179.2564,6.5341,46.7845,66.334
86,-135.1451,179.0444,7.4735,47.4319,66.9248
87,-136.2541,178.8368,8.4905,48.0494,67.4805
88,-137.2694,178.636,9.5834,48.6363,68.0018
89,-138.1993,178.444,10.7486,49.1919,68.4894
90,-139.0509,178.2608,11.9808,49.716,68.9438
91,-139.8308,178.0868,13.2725,50.2084,69.3662
92,-140.5447,177.9223,14.6138,50.6691,69.7574
93,-141.1976,177.7679,15.9933,51.0984,70.1185
94,-141.7941,177.6237,17.3972,51.4965,70.4507
95,-142.3382,177.4902,18.8105,51.864,70.7551
96,-142.8336,177.3682,20.2169,52.2015,71.0329
97,-143.2835,177.2581,21.5996,52.5099,71.2855
98,-143.6907,177.1606,22.9415,52.79,71.5142
99,-144.0581,177.0764,24.2265,53.0426,71.7203
100,-144.3879,177.0063,25.4387,53.269,71.9053
101,-144.6824,176.9511,26.5643,53.4701,72.0704
102,-144.9436,176.9115,27.5905,53.6472,72.2172
103,-145.1733,176.8886,28.5065,53.8014,72.3469
104,-145.3735,176.8832,29.3028,53.9341,72.4611
105,-145.5457,176.8964,29.9716,54.0464,72.5612
106,-145.6915,176.929,30.5059,54.1397,72.6486
107,-145.8126,176.982,30.8991,54.2153,72.7248
108,-145.9104,177.0563,31.1449,54.2745,72.7912
