Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,3.1982,2.4747,0.2591,2.9832
2,3.1948,2.4708,0.2574,2.9837
3,3.185,2.4595,0.2527,2.9852
4,3.1692,2.441,0.2461,2.9878
5,3.1477,2.4157,0.2393,2.9913
6,3.1209,2.3842,0.2347,2.996
7,3.0893,2.3466,0.2351,3.0018
8,3.0534,2.3035,0.2434,3.0088
9,3.0136,2.2552,0.2614,3.0172
10,2.9703,2.2021,0.2901,3.027
11,2.924,2.1447,0.3287,3.0384
12,2.8753,2.0831,0.3761,3.0515
13,2.8246,2.018,0.4308,3.0663
14,2.7725,1.9496,0.4917,3.0828
15,2.7193,1.8784,0.5576,3.1012
16,2.6658,1.8048,0.6276,3.1213
17,2.6124,1.729,0.701,3.1431
18,2.5595,1.6515,0.7771,3.1665
19,2.5079,1.5727,0.8554,3.1915
20,2.458,1.493,0.9352,3.2178
21,2.4102,1.4127,1.016,3.2453
22,2.3652,1.3322,1.0975,3.2738
23,2.3233,1.2518,1.1792,3.3029
24,2.2851,1.172,1.2606,3.3325
25,2.2509,1.0929,1.3413,3.3622
26,2.2212,1.015,1.4209,3.3917
27,2.1961,0.9386,1.4991,3.4205
28,2.1759,0.864,1.5753,3.4485
29,2.1609,0.7914,1.6494,3.4751
30,2.151,0.7212,1.7208,3.5
31,2.1464,0.6535,1.7892,3.5227
32,2.147,0.5886,1.8543,3.5429
33,2.1526,0.5266,1.9157,3.56
34,2.1633,0.4678,1.9731,3.5737
35,2.1787,0.4124,2.0261,3.5836
36,2.1987,0.3608,2.0746,3.5891
37,2.2232,0.3134,2.1181,3.5899
38,2.2518,0.2712,2.1564,3.5854
39,2.2844,0.2358,2.1892,3.5754
40,2.321,0.2101,2.2164,3.5592
41,2.3613,0.1974,2.2379,3.5367
42,2.405,0.2006,2.2541,3.508
43,2.4518,0.2196,2.2655,3.4734
44,2.5016,0.252,2.2725,3.433
45,2.5541,0.2948,2.2756,3.3871
46,2.6093,0.3455,2.2752,3.336
47,2.6671,0.4025,2.2718,3.2798
48,2.7274,0.4647,2.266,3.2189
49,2.7901,0.5314,2.2582,3.1534
50,2.8552,0.6022,2.249,3.0836
51,2.9226,0.6768,2.2388,3.0099
52,2.9922,0.7547,2.2281,2.9324
53,3.0639,0.8358,2.2175,2.8515
54,3.1378,0.9198,2.2075,2.7674
55,3.2135,1.0065,2.1985,2.6804
56,3.2911,1.0956,2.191,2.5908
57,3.3705,1.1868,2.1855,2.4988
58,3.4514,1.28,2.1823,2.4048
59,3.5337,1.3748,2.1818,2.309
60,3.6173,1.471,2.1842,2.2118
61,3.7019,1.5683,2.1899,2.1133
62,3.7873,1.6664,2.1989,2.014
63,3.8735,1.7651,2.2114,1.9141
64,3.96,1.8641,2.2275,1.8139
65,4.0468,1.9631,2.247,1.7137
66,4.1335,2.0618,2.2699,1.6137
67,4.2199,2.16,2.2961,1.5144
68,4.3058,2.2573,2.3252,1.416
69,4.3908,2.3534,2.3571,1.3188
70,4.4749,2.4481,2.3914,1.223
