Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,2.4243,0.1819,2.3915,3.5868
2,2.4274,0.184,2.3893,3.5826
3,2.4367,0.1905,2.3828,3.57
4,2.4518,0.2025,2.3723,3.5495
5,2.4726,0.2209,2.3582,3.5214
6,2.499,0.2467,2.3408,3.4861
7,2.5309,0.2803,2.3205,3.4439
8,2.568,0.3217,2.2979,3.3952
9,2.6103,0.3705,2.2734,3.3403
10,2.6577,0.4262,2.2475,3.2796
11,2.7099,0.4884,2.2208,3.2135
12,2.7669,0.5564,2.194,3.1422
13,2.8283,0.6298,2.1676,3.0662
14,2.8941,0.7081,2.1423,2.9858
15,2.9641,0.7909,2.1187,2.9013
16,3.0378,0.8777,2.0975,2.8132
17,3.1152,0.9682,2.0792,2.7217
18,3.196,1.0618,2.0644,2.6273
19,3.2797,1.1583,2.0536,2.5302
20,3.3662,1.2571,2.0473,2.4309
21,3.4552,1.3581,2.046,2.3297
22,3.5462,1.4607,2.0497,2.227
23,3.639,1.5647,2.0588,2.1231
24,3.7332,1.6696,2.0733,2.0184
25,3.8285,1.7751,2.0931,1.9132
26,3.9244,1.8808,2.118,1.808
27,4.0207,1.9864,2.1479,1.703
28,4.1171,2.0915,2.1823,1.5987
29,4.213,2.1958,2.2209,1.4954
30,4.3082,2.2988,2.2631,1.3936
31,4.4023,2.4003,2.3084,1.2935
32,4.4949,2.4998,2.3563,1.1956
33,4.5856,2.5971,2.4061,1.1003
34,4.6742,2.6917,2.4573,1.0079
35,4.7601,2.7834,2.5094,0.919
36,4.8432,2.8717,2.5616,0.834
37,4.9229,2.9563,2.6135,0.7532
38,4.9989,3.0369,2.6644,0.6772
39,5.071,3.113,2.7139,0.6065
40,5.1386,3.1844,2.7614,0.5416
41,5.2014,3.2506,2.8064,0.483
42,5.2591,3.3114,2.8484,0.4312
43,5.3114,3.3664,2.8869,0.3866
44,5.3578,3.4152,2.9216,0.3496
45,5.3981,3.4574,2.9519,0.3201
46,5.4318,3.4928,2.9776,0.2978
47,5.4586,3.5209,2.9981,0.282
48,5.4782,3.5414,3.0131,0.2717
49,5.4902,3.554,3.0224,0.266
50,5.4942,3.5583,3.0255,0.2642
51,5.4918,3.5564,3.0224,0.2648
52,5.4844,3.551,3.0134,0.267
53,5.4724,3.5422,2.9985,0.2711
54,5.4559,3.5301,2.9781,0.2781
55,5.4351,3.5149,2.9525,0.2888
56,5.4102,3.4968,2.9218,0.3041
57,5.3815,3.4761,2.8863,0.3248
58,5.3491,3.4529,2.8462,0.3513
59,5.3133,3.4275,2.8019,0.3836
60,5.2743,3.4,2.7535,0.4218
61,5.2323,3.3709,2.7013,0.4654
62,5.1874,3.3401,2.6455,0.5141
63,5.1401,3.3081,2.5864,0.5675
64,5.0903,3.2751,2.5242,0.6252
65,5.0385,3.2413,2.4592,0.6867
66,4.9847,3.2069,2.3916,0.7517
67,4.9292,3.1722,2.3216,0.8198
68,4.8722,3.1374,2.2496,0.8906
69,4.8139,3.1028,2.1757,0.9638
70,4.7545,3.0684,2.1002,1.0391
71,4.6942,3.0347,2.0233,1.1161
72,4.6332,3.0016,1.9454,1.1947
73,4.5717,2.9694,1.8665,1.2744
74,4.5099,2.9383,1.787,1.3551
75,4.4479,2.9083,1.7071,1.4364
76,4.3858,2.8796,1.6271,1.5181
77,4.3239,2.8523,1.5471,1.5999
78,4.2623,2.8263,1.4674,1.6816
79,4.2012,2.8017,1.3883,1.7629
80,4.1405,2.7785,1.3099,1.8435
81,4.0805,2.7568,1.2325,1.9233
82,4.0213,2.7363,1.1563,2.0019
83,3.9629,2.717,1.0815,2.0792
84,3.9054,2.6988,1.0083,2.1548
85,3.8489,2.6816,0.9369,2.2286
86,3.7934,2.6651,0.8674,2.3003
87,3.739,2.6491,0.8001,2.3696
88,3.6857,2.6336,0.7352,2.4365
89,3.6335,2.6181,0.6727,2.5005
90,3.5824,2.6024,0.6127,2.5615
91,3.5326,2.5864,0.5555,2.6194
92,3.4838,2.5696,0.5011,2.6737
93,3.4363,2.5519,0.4497,2.7245
94,3.3899,2.5328,0.4013,2.7714
95,3.3447,2.5122,0.3562,2.8142
96,3.3008,2.4897,0.3147,2.8528
97,3.258,2.4651,0.2773,2.8869
98,3.2166,2.438,0.2449,2.9165
99,3.1766,2.4082,0.2189,2.9412
100,3.1381,2.3754,0.2015,2.9611
101,3.1006,2.3403,0.1939,2.9775
102,3.0638,2.3038,0.1963,2.9922
103,3.0276,2.2659,0.2085,3.0053
104,2.992,2.2266,0.2294,3.0169
105,2.9572,2.1861,0.2569,3.0271
106,2.923,2.1442,0.2896,3.0362
107,2.8897,2.1012,0.3262,3.0442
108,2.8571,2.0569,0.3657,3.0512
109,2.8254,2.0116,0.4076,3.0574
110,2.7947,1.9652,0.4513,3.063
111,2.7649,1.9178,0.4966,3.0679
112,2.7361,1.8695,0.5432,3.0725
113,2.7084,1.8203,0.5909,3.0767
114,2.6818,1.7704,0.6397,3.0807
115,2.6563,1.7197,0.6894,3.0846
116,2.632,1.6685,0.7399,3.0885
117,2.609,1.6166,0.791,3.0926
118,2.5871,1.5643,0.8427,3.0969
