Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,137.3428,106.7632,-144.3152,-85.407
2,137.3587,106.7136,-144.3178,-85.322
3,137.4089,106.5606,-144.3241,-85.0694
4,137.4986,106.3025,-144.3329,-84.6526
5,137.6343,105.9754,-144.3448,-84.0753
6,137.8239,105.6617,-144.3613,-83.3408
7,138.0758,105.4648,-144.3851,-82.4527
8,138.3991,105.4697,-144.4195,-81.4146
9,138.8029,105.7248,-144.4683,-80.2299
10,139.296,106.245,-144.5356,-78.9023
11,139.8868,107.0245,-144.625,-77.4352
12,140.5832,108.0477,-144.7396,-75.8324
13,141.3919,109.2954,-144.8816,-74.0973
14,142.319,110.749,-145.0517,-72.2338
15,143.3692,112.3916,-145.2485,-70.2454
16,144.5466,114.2082,-145.4684,-68.136
17,145.854,116.1863,-145.7052,-65.9095
18,147.2932,118.3147,-145.9494,-63.5698
19,148.865,120.5838,-146.1886,-61.1212
20,150.5695,122.9852,-146.4075,-58.5681
21,152.406,125.5113,-146.588,-55.9152
22,154.373,128.1555,-146.7104,-53.1677
23,156.4684,130.9114,-146.7532,-50.3315
24,158.6894,133.7734,-146.6952,-47.4136
25,161.0328,136.7361,-146.5152,-44.4219
26,163.4949,139.7943,-146.1941,-41.367
27,166.0709,142.9429,-145.7147,-38.262
28,168.7549,146.1772,-145.0628,-35.1257
29,171.5376,149.4922,-144.2271,-31.984
30,174.3982,152.8829,-143.1998,-28.8758
31,177.2402,156.3437,-141.9759,-25.8608
32,-178.5376,159.8681,-140.5537,-23.0324
33,-175.9114,163.4479,-138.9335,-20.538
34,-172.7152,167.0689,-137.118,-18.599
35,-169.3771,170.7016,-135.1116,-17.508
36,-165.9419,174.2489,-132.9199,-17.5499
37,-162.4236,177.1156,-130.5492,-18.8575
38,-158.8299,-176.345,-128.0068,21.3506
39,-155.1666,-172.9817,-125.2998,24.8333
40,-151.4384,-169.1845,-122.4358,29.1161
41,-147.6497,-165.2567,-119.4219,34.0576
42,-143.8046,-161.2601,-116.2651,39.5495
43,-139.9071,-157.217,-112.9721,45.4786
44,-135.9608,-153.1384,-109.5488,51.6862
45,-131.9694,-149.0318,-106.0007,57.9386
46,-127.9363,-144.9025,-102.3324,63.9241
47,-123.8648,-140.7553,-98.548,69.2961
48,-119.758,-136.5945,-94.6506,73.7502
49,-115.6189,-132.4241,-90.6423,77.1022
50,-111.4503,-128.2479,-86.5244,79.33
51,-107.2885,-124.1117,-82.3658,81.3193
52,-103.1692,-120.0591,-78.2368,84.0174
53,-99.0941,-116.0904,-74.1396,87.5681
54,-95.0654,-112.2066,-70.0768,92.0201
55,-91.0849,-108.4089,-66.0511,97.307
56,-87.1551,-104.6988,-62.0654,103.2545
57,-83.2781,-101.078,-58.1228,109.621
58,-79.4565,-97.5483,-54.2267,116.1553
59,-75.6928,-94.1121,-50.3806,122.6469
60,-71.9896,-90.7715,-46.5884,128.9497
61,-68.3495,-87.5286,-42.8539,134.9818
62,-64.775,-84.3859,-39.1813,140.7111
63,-61.269,-81.3456,-35.5751,146.1358
64,-57.834,-78.4099,-32.0402,151.2707
65,-54.4728,-75.5809,-28.5821,156.1352
66,-51.1879,-72.8606,-25.2069,160.7462
67,-47.982,-70.2508,-21.922,165.1103
68,-44.8575,-67.753,-18.7364,169.207
69,-41.8169,-65.3686,-15.6634,172.9288
70,-38.8627,-63.0984,-12.7227,175.7655
71,-35.9971,-60.9432,-9.9501,-175.9326
72,-33.2223,-58.9033,-7.4213,-173.4778
73,-30.5403,-56.9786,-5.3248,-170.3591
74,-27.9531,-55.1688,-4.1314,-167.1535
75,-25.4625,-53.4728,4.4071,-163.9923
76,-23.0698,-51.8895,5.7966,-160.9167
77,-20.7768,-50.4176,7.6008,-157.9436
78,-18.5846,-49.0549,9.4932,-155.0812
79,-16.4944,-47.7994,11.3514,-152.3348
80,-14.507,-46.6487,13.1236,-149.7081
81,-12.6235,-45.6002,14.7841,-147.2044
82,-10.8444,-44.6511,16.3191,-144.8268
83,-9.1709,-43.7986,17.721,-142.5784
84,-7.6043,-43.0401,18.9868,-140.4624
85,-6.147,-42.3726,20.1179,-138.482
86,-4.8041,-41.7936,21.1205,-136.6408
87,-3.5869,-41.3005,22.0066,-134.9424
88,-2.5253,-40.891,22.7968,-133.3906
89,-1.7073,-40.5628,23.5219,-131.9893
90,1.362,-40.3139,24.2278,-130.7428
91,1.625,-40.1426,24.9796,-129.6555
92,2.1875,-40.0471,25.8675,-128.7317
93,2.8048,-40.0259,27.0137,-127.9764
94,3.3954,-40.0776,28.5789,-127.3946
95,3.9341,-40.2003,30.7704,-126.9915
96,4.4122,-40.3926,33.8488,-126.7727
97,4.8284,-40.6526,38.1333,-126.7441
98,5.184,-40.978,43.9916,-126.912
99,5.4817,-41.3659,51.762,-127.2829
100,5.7253,-41.8127,61.5211,-127.8639
101,5.97,-42.2682,72.7535,-128.5626
102,6.2679,-42.6866,84.4011,-129.2823
103,6.6177,-43.0699,95.2085,-130.0237
104,7.0181,-43.4202,104.3264,-130.7877
105,7.4678,-43.7394,111.5347,-131.5748
106,7.9649,-44.0292,117.0253,-132.3858
107,8.5081,-44.2915,121.1288,-133.2212
108,9.0954,-44.5278,124.1667,-134.0816
109,9.7249,-44.7397,126.4004,-134.9675
110,10.3946,-44.9286,128.0297,-135.879
111,11.1023,-45.096,129.2027,-136.8166
112,11.8455,-45.2431,130.0288,-137.7804
113,12.6219,-45.371,130.5888,-138.7705
114,13.4286,-45.481,130.943,-139.7867
115,14.2626,-45.5742,131.1366,-140.829
116,15.121,-45.6514,131.2034,-141.8971
117,16.0004,-45.7137,131.1696,-142.9906
118,16.8975,-45.7617,131.055,-144.1091
119,17.8086,-45.7965,130.875,-145.252
120,18.73,-45.8185,130.6415,-146.4186
121,19.6576,-45.8286,130.3637,-147.6081
122,20.5875,-45.8273,130.0486,-148.8198
123,21.5157,-45.8152,129.702,-150.0525
124,22.4377,-45.7929,129.3282,-151.3052
125,23.3493,-45.7608,128.9304,-152.577
126,24.2463,-45.7196,128.5114,-153.8665
127,25.1244,-45.6698,128.0729,-155.1725
128,25.9792,-45.612,127.6166,-156.4938
129,26.8066,-45.5469,127.1435,-157.8291
130,27.6025,-45.4756,126.6543,-159.1768
131,28.3628,-45.3991,126.1496,-160.5357
132,29.0836,-45.3188,125.6297,-161.9041
133,29.7614,-45.2366,125.0949,-163.2805
134,30.3925,-45.1554,124.5451,-164.6631
135,30.9735,-45.0784,123.9804,-166.0497
136,31.5014,-45.0105,123.4007,-167.4381
137,31.973,-44.9581,122.806,-168.8249
