Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,78.8888,48.9481,126.4464,36.3617
2,78.8301,48.7995,126.5097,35.4385
3,78.6531,48.3565,126.6933,32.76
4,78.3571,47.6194,126.9911,28.9852
5,77.9411,46.5835,127.4013,-27.4187
6,77.4044,45.2396,127.9257,-34.5778
7,76.7463,43.5735,128.5693,-49.2104
8,75.9662,41.566,129.3394,-63.7624
9,75.0635,39.1923,130.245,-74.9767
10,74.0378,36.4212,131.296,-83.1478
11,72.8886,33.215,132.5015,-89.2603
12,71.6157,29.5291,133.8686,-94.0771
13,70.2189,25.3134,135.4001,-98.088
14,68.6982,20.5176,137.0921,-101.5983
15,67.0537,15.1108,138.9315,-104.8011
16,65.2859,9.1799,140.8935,-107.822
17,63.3955,4.0943,142.9402,-110.7453
18,61.3833,-7.7555,145.0204,-113.6291
19,59.2509,-15.8889,147.0714,-116.5148
20,57.0001,-25.087,149.0228,-119.4323
21,54.634,-34.8602,150.802,-122.4038
22,52.156,-44.8871,152.3394,-125.4464
23,49.5715,-54.8687,153.5744,-128.573
24,46.8872,-64.557,154.4579,-131.7939
25,44.1127,-73.7856,154.9545,-135.1174
26,41.2614,-82.4762,155.0417,-138.5499
27,38.3519,-90.6207,154.7084,-142.097
28,35.4115,-98.257,153.9524,-145.7629
29,32.4797,-105.446,152.7781,-149.5515
30,29.6162,-112.2558,151.1942,-153.4654
31,26.9116,-118.7526,149.2117,-157.5068
32,24.5038,-124.9957,146.8429,-161.6769
33,22.5953,-131.0356,144.0995,-165.9743
34,21.4525,-136.9145,140.9924,-170.3913
35,21.344,-142.6655,137.5305,-174.8845
36,22.3841,-148.3139,133.721,-178.576
37,24.3402,-153.877,129.5684,175.1157
38,26.541,-159.3635,125.0744,170.2139
39,28.0179,-164.7691,120.2377,165.0994
40,28.0299,-170.0611,115.0535,159.8245
41,-27.6414,-175.1048,109.6111,154.4191
42,-28.6758,177.3543,104.0057,148.9057
43,-31.9803,173.0111,98.2381,143.2849
44,-37.7141,167.7294,92.3089,137.5571
45,-45.4079,162.2986,86.2187,131.7223
46,-54.3944,156.7965,79.9679,125.7807
47,-64.0899,151.2412,73.5571,119.7328
48,-74.0742,145.6382,66.9867,113.5788
49,-84.0833,139.9896,60.2571,107.3194
50,-93.9744,134.2955,53.3687,100.9552
51,-103.6872,128.5551,46.3222,94.4872
52,-113.2112,122.767,39.1185,87.916
53,-122.5618,116.9289,31.7596,81.2429
54,-131.7636,111.038,24.2498,74.4689
55,-140.8394,105.0904,16.6023,67.5951
56,-149.7974,99.0818,8.8787,60.6229
57,-158.6013,93.0066,2.2869,53.5536
58,-167.0322,86.8584,-7.9134,46.3887
59,-173.4889,80.6299,-16.0939,39.1299
60,170.9676,74.3131,-24.5487,31.7794
61,163.0291,67.8991,-33.1962,24.3409
62,154.2124,61.3783,-42.0217,16.8227
63,145.1186,54.7409,-51.0219,9.2583
64,135.8639,47.977,-60.1967,2.2005
65,126.4811,41.077,-69.5476,-6.681
66,116.9807,34.0322,-79.077,-14.4708
67,107.3657,26.8364,-88.7879,-22.4395
68,97.6363,19.4896,-98.6841,-30.5207
