Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,1.5763,0.9265,1.02,0.0951
2,1.5733,0.9239,1.018,0.0933
3,1.5647,0.9164,1.0124,0.0883
4,1.5507,0.9042,1.0033,0.0816
5,1.5317,0.8877,0.9911,0.0757
6,1.5079,0.8673,0.9762,0.0747
7,1.4797,0.8432,0.9589,0.0829
8,1.4473,0.816,0.9398,0.1017
9,1.4111,0.7859,0.9193,0.1292
10,1.3713,0.7536,0.898,0.1633
11,1.3284,0.7196,0.8763,0.2025
12,1.2825,0.6843,0.855,0.2458
13,1.2341,0.6484,0.8346,0.2924
14,1.1833,0.6128,0.8159,0.3418
15,1.1306,0.5781,0.7993,0.3935
16,1.0761,0.5454,0.7855,0.4471
17,1.0203,0.5156,0.7752,0.5023
18,0.9634,0.4901,0.7687,0.5586
19,0.9058,0.4698,0.7663,0.6159
20,0.8477,0.4559,0.7684,0.6737
21,0.7895,0.4491,0.7748,0.7316
22,0.7315,0.4499,0.7855,0.7895
23,0.6739,0.458,0.8001,0.847
24,0.6171,0.4728,0.8183,0.9037
25,0.5614,0.4933,0.8396,0.9594
26,0.5071,0.5184,0.8633,1.0137
27,0.4546,0.5468,0.8888,1.0664
28,0.4041,0.5773,0.9156,1.1171
29,0.3559,0.609,0.943,1.1655
30,0.3105,0.6409,0.9705,1.2113
31,0.2681,0.6723,0.9974,1.2542
32,0.229,0.7024,1.0233,1.2938
33,0.1937,0.7307,1.0477,1.33
34,0.1624,0.7565,1.07,1.3624
35,0.1355,0.7794,1.0899,1.3906
36,0.1134,0.799,1.107,1.4143
37,0.0963,0.8149,1.1208,1.4333
38,0.0843,0.8266,1.131,1.4473
39,0.0772,0.8338,1.1374,1.4559
40,0.0749,0.8363,1.1396,1.4589
41,0.0753,0.8359,1.1386,1.4581
42,0.0765,0.8349,1.1356,1.4558
43,0.0787,0.8332,1.1308,1.4521
44,0.0822,0.8309,1.1242,1.447
45,0.087,0.8281,1.1159,1.4405
46,0.0935,0.8248,1.1059,1.4328
47,0.1018,0.8211,1.0943,1.4239
48,0.1119,0.8171,1.0811,1.4138
49,0.1238,0.8129,1.0665,1.4027
50,0.1375,0.8086,1.0505,1.3906
51,0.1529,0.8042,1.0331,1.3776
52,0.1698,0.8,1.0145,1.3638
53,0.1883,0.7959,0.9947,1.3492
54,0.208,0.7921,0.9737,1.3339
55,0.2291,0.7887,0.9517,1.3179
56,0.2513,0.7858,0.9286,1.3015
57,0.2746,0.7836,0.9047,1.2846
58,0.2989,0.782,0.8799,1.2674
59,0.3241,0.7812,0.8543,1.2499
60,0.3501,0.7813,0.8279,1.2321
61,0.3769,0.7824,0.8009,1.2143
62,0.4043,0.7844,0.7733,1.1964
63,0.4323,0.7875,0.7452,1.1786
64,0.4609,0.7917,0.7167,1.161
65,0.4899,0.7971,0.6877,1.1435
66,0.5193,0.8035,0.6585,1.1264
67,0.5489,0.8111,0.629,1.1096
68,0.5789,0.8197,0.5994,1.0933
69,0.609,0.8295,0.5697,1.0775
70,0.6391,0.8402,0.5399,1.0624
71,0.6694,0.8519,0.5102,1.0478
72,0.6995,0.8645,0.4807,1.0341
73,0.7296,0.878,0.4513,1.0211
74,0.7595,0.8921,0.4223,1.0089
75,0.7891,0.907,0.3937,0.9976
76,0.8185,0.9224,0.3655,0.9871
77,0.8474,0.9383,0.3379,0.9776
78,0.8759,0.9545,0.311,0.9691
79,0.9039,0.971,0.2849,0.9614
80,0.9313,0.9877,0.2598,0.9547
81,0.9581,1.0045,0.2358,0.9489
82,0.9841,1.0212,0.213,0.9439
83,1.0094,1.0379,0.1917,0.9398
84,1.0338,1.0543,0.1722,0.9365
85,1.0573,1.0704,0.1548,0.934
86,1.0798,1.0862,0.1397,0.9321
87,1.1013,1.1014,0.1274,0.9309
88,1.1216,1.1161,0.1181,0.9303
89,1.1407,1.1301,0.1121,0.9301
90,1.1586,1.1433,0.1092,0.9303
91,1.1752,1.1558,0.109,0.9309
92,1.1904,1.1673,0.1111,0.9318
93,1.2042,1.1778,0.1146,0.9329
94,1.2164,1.1873,0.1189,0.9341
95,1.227,1.1957,0.1234,0.9354
96,1.236,1.2029,0.1277,0.9366
97,1.2432,1.2088,0.1315,0.9379
98,1.2487,1.2134,0.1344,0.939
99,1.2523,1.2166,0.1362,0.94
100,1.254,1.2183,0.1368,0.9409
101,1.2546,1.2193,0.1367,0.9417
102,1.255,1.2201,0.1364,0.9426
103,1.2553,1.2209,0.136,0.9434
104,1.2553,1.2216,0.1354,0.9444
105,1.2551,1.2221,0.1345,0.9454
106,1.2547,1.2226,0.1335,0.9465
107,1.2542,1.223,0.1324,0.9477
108,1.2534,1.2233,0.131,0.9489
109,1.2525,1.2236,0.1294,0.9502
110,1.2514,1.2238,0.1276,0.9517
111,1.2501,1.2239,0.1256,0.9532
112,1.2486,1.224,0.1235,0.9548
113,1.2469,1.224,0.1211,0.9565
114,1.245,1.224,0.1185,0.9584
115,1.243,1.224,0.1157,0.9604
116,1.2408,1.2239,0.1127,0.9625
117,1.2385,1.2239,0.1095,0.9648
118,1.2359,1.2238,0.1061,0.9672
119,1.2332,1.2237,0.1024,0.9697
120,1.2304,1.2236,0.0986,0.9725
121,1.2255,1.2209,0.0945,0.9735
122,1.2171,1.2138,0.0903,0.9715
123,1.206,1.2033,0.0867,0.9675
124,1.1928,1.1905,0.0848,0.9625
125,1.1782,1.1767,0.0852,0.9574
126,1.1628,1.1627,0.0876,0.9532
127,1.1472,1.1497,0.0916,0.9507
128,1.1314,1.1377,0.0968,0.9499
129,1.1156,1.1268,0.103,0.9507
130,1.0996,1.1168,0.1103,0.9531
131,1.0835,1.1078,0.1185,0.9571
132,1.0672,1.0998,0.1277,0.9624
133,1.0508,1.0927,0.1378,0.9691
134,1.0343,1.0865,0.1488,0.9771
135,1.0177,1.0812,0.1608,0.9863
136,1.001,1.0768,0.1737,0.9965
137,0.9842,1.0732,0.1875,1.0079
138,0.9673,1.0704,0.2022,1.0201
139,0.9504,1.0683,0.2177,1.0333
140,0.9335,1.067,0.234,1.0472
141,0.9165,1.0664,0.2511,1.0619
142,0.8996,1.0665,0.2689,1.0773
143,0.8827,1.0671,0.2873,1.0932
144,0.8658,1.0684,0.3064,1.1095
145,0.8489,1.0701,0.326,1.1264
146,0.8321,1.0723,0.3462,1.1435
147,0.8153,1.0749,0.3669,1.161
148,0.7985,1.0778,0.3879,1.1787
149,0.7818,1.081,0.4094,1.1965
150,0.7652,1.0844,0.4311,1.2144
151,0.7486,1.0879,0.4532,1.2323
152,0.7319,1.0915,0.4755,1.2502
153,0.7153,1.0951,0.498,1.2679
154,0.6987,1.0987,0.5207,1.2855
155,0.6819,1.1021,0.5436,1.3029
156,0.6651,1.1053,0.5665,1.3199
157,0.6481,1.1082,0.5895,1.3367
158,0.6309,1.1107,0.6126,1.353
159,0.6135,1.1129,0.6357,1.369
160,0.5958,1.1145,0.6588,1.3844
161,0.5778,1.1156,0.6819,1.3993
162,0.5593,1.116,0.7051,1.4137
163,0.5403,1.1158,0.7282,1.4274
164,0.5208,1.1147,0.7513,1.4405
165,0.5006,1.1129,0.7745,1.4529
166,0.4797,1.1102,0.7977,1.4647
167,0.4581,1.1065,0.8209,1.4757
168,0.4355,1.1019,0.8442,1.486
169,0.412,1.0963,0.8676,1.4955
170,0.3875,1.0895,0.8912,1.5043
171,0.3618,1.0817,0.915,1.5124
172,0.3349,1.0728,0.9391,1.5197
173,0.3068,1.0627,0.9635,1.5262
174,0.2773,1.0515,0.9884,1.5321
175,0.2464,1.0392,1.0137,1.5373
176,0.2142,1.0257,1.0397,1.5419
177,0.1806,1.0112,1.0664,1.546
178,0.1459,0.9957,1.0938,1.5495
179,0.1108,0.9792,1.1223,1.5527
180,0.0775,0.962,1.1518,1.5555
181,0.0537,0.9426,1.1845,1.5581
182,0.0668,0.9211,1.2218,1.5609
183,0.1115,0.8991,1.2623,1.5644
184,0.1661,0.8783,1.3046,1.5686
185,0.2228,0.8597,1.347,1.5735
186,0.2781,0.8436,1.3877,1.5786
187,0.329,0.8301,1.4246,1.5829
188,0.3731,0.8183,1.4556,1.5855
189,0.4079,0.8072,1.4786,1.5851
190,0.4313,0.7955,1.4911,1.5803
191,0.4408,0.7821,1.4912,1.57
192,0.4428,0.7673,1.484,1.5562
193,0.4451,0.7521,1.4765,1.5419
194,0.4477,0.7365,1.4687,1.5271
195,0.4507,0.7205,1.4606,1.512
196,0.4541,0.7041,1.4522,1.4964
197,0.4579,0.6874,1.4437,1.4805
198,0.4622,0.6704,1.4349,1.4643
199,0.4669,0.6531,1.426,1.4477
200,0.4722,0.6356,1.417,1.431
201,0.4779,0.618,1.4079,1.414
202,0.4841,0.6001,1.3987,1.3968
203,0.4908,0.5821,1.3895,1.3794
204,0.498,0.564,1.3803,1.3619
205,0.5056,0.5458,1.3711,1.3444
206,0.5137,0.5276,1.362,1.3267
207,0.5222,0.5094,1.3529,1.3091
208,0.5311,0.4913,1.3439,1.2914
209,0.5403,0.4732,1.3351,1.2738
210,0.5499,0.4552,1.3264,1.2562
211,0.5597,0.4373,1.3178,1.2388
