Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,0.2912,3.6624,6.0837,13.0759,15.3317
2,0.2922,3.6624,6.082,13.0743,15.3304
3,0.2953,3.6626,6.0766,13.0694,15.3263
4,0.3005,3.6628,6.068,13.0615,15.3196
5,0.3078,3.663,6.056,13.0505,15.3104
6,0.3173,3.6631,6.041,13.0366,15.2987
7,0.3292,3.6632,6.0229,13.02,15.2846
8,0.3436,3.6632,6.002,13.0006,15.2682
9,0.3605,3.6631,5.9783,12.9786,15.2496
10,0.3801,3.663,5.952,12.9542,15.2288
11,0.4022,3.6627,5.9232,12.9274,15.2058
12,0.4269,3.6622,5.8921,12.8984,15.1809
13,0.4541,3.6616,5.8587,12.8671,15.154
14,0.4836,3.6609,5.8233,12.8338,15.1252
15,0.5154,3.66,5.7858,12.7986,15.0945
16,0.5493,3.6589,5.7465,12.7615,15.0622
17,0.5851,3.6575,5.7054,12.7226,15.0282
18,0.6226,3.656,5.6628,12.6821,14.9926
19,0.6618,3.6541,5.6186,12.6401,14.9554
20,0.7024,3.652,5.5731,12.5966,14.9168
21,0.7442,3.6495,5.5263,12.5517,14.8768
22,0.7872,3.6467,5.4785,12.5056,14.8355
23,0.8311,3.6433,5.4296,12.4584,14.7929
24,0.8759,3.6395,5.3798,12.4101,14.749
25,0.9213,3.6352,5.3293,12.3609,14.7041
26,0.9672,3.6302,5.2782,12.3108,14.6581
27,1.0136,3.6245,5.2265,12.2599,14.611
28,1.0601,3.618,5.1745,12.2084,14.563
29,1.1069,3.6107,5.1222,12.1563,14.5141
30,1.1536,3.6023,5.0698,12.1038,14.4644
31,1.2002,3.593,5.0174,12.0509,14.4139
32,1.2467,3.5824,4.9651,11.9977,14.3626
33,1.2928,3.5706,4.913,11.9444,14.3107
34,1.3385,3.5574,4.8614,11.891,14.2582
35,1.3838,3.5427,4.8104,11.8376,14.2052
36,1.4284,3.5263,4.76,11.7844,14.1516
37,1.4725,3.5082,4.7105,11.7314,14.0977
38,1.5159,3.4881,4.6621,11.6787,14.0433
39,1.5585,3.4661,4.6148,11.6266,13.9887
40,1.6004,3.4418,4.5689,11.575,13.9339
41,1.6419,3.4159,4.5242,11.5238,13.8788
42,1.6834,3.3888,4.4805,11.473,13.8235
43,1.7249,3.3606,4.4379,11.4227,13.7681
44,1.7662,3.3312,4.3967,11.3729,13.7128
45,1.8073,3.3008,4.3569,11.324,13.6577
46,1.8481,3.2692,4.3189,11.2759,13.6029
47,1.8885,3.2366,4.2827,11.229,13.5485
48,1.9285,3.2028,4.2485,11.1832,13.4948
49,1.968,3.1678,4.2165,11.1387,13.4418
50,2.0069,3.1316,4.187,11.0958,13.3897
51,2.0451,3.0943,4.16,11.0545,13.3386
52,2.0825,3.0557,4.1358,11.015,13.2887
53,2.1191,3.0157,4.1145,10.9774,13.2401
54,2.1548,2.9745,4.0962,10.942,13.1929
55,2.1895,2.9318,4.0813,10.9088,13.1473
56,2.2232,2.8877,4.0698,10.878,13.1035
57,2.2558,2.8421,4.0618,10.8498,13.0616
58,2.2872,2.7949,4.0576,10.8243,13.0216
59,2.3174,2.7461,4.0572,10.8016,12.9839
60,2.3464,2.6955,4.0609,10.782,12.9486
61,2.3741,2.6431,4.0686,10.7656,12.9157
62,2.4004,2.5889,4.0807,10.7524,12.8855
63,2.4254,2.5326,4.097,10.7428,12.8581
64,2.449,2.4743,4.1179,10.7368,12.8337
65,2.4713,2.4139,4.1432,10.7346,12.8124
66,2.4922,2.3512,4.1732,10.7364,12.7945
67,2.5117,2.2862,4.2079,10.7422,12.78
68,2.5299,2.2188,4.2473,10.7523,12.7691
69,2.5468,2.1489,4.2915,10.7668,12.7621
70,2.5625,2.0765,4.3406,10.7858,12.759
71,2.5777,2.0014,4.3942,10.809,12.7594
72,2.5931,1.9238,4.4518,10.8357,12.7629
73,2.6091,1.8442,4.5128,10.8656,12.769
74,2.626,1.7628,4.577,10.8985,12.7778
75,2.6439,1.68,4.6438,10.9339,12.7889
76,2.663,1.5961,4.7129,10.9718,12.8022
77,2.6836,1.5114,4.7838,11.0117,12.8175
78,2.7056,1.4264,4.8562,11.0533,12.8346
79,2.7292,1.3414,4.9295,11.0964,12.8533
80,2.7543,1.2567,5.0034,11.1405,12.8732
81,2.7808,1.1726,5.0774,11.1854,12.8943
82,2.8087,1.0897,5.1511,11.2307,12.9162
83,2.8378,1.0082,5.2242,11.2761,12.9387
84,2.868,0.9285,5.2961,11.3212,12.9615
85,2.8991,0.8509,5.3666,11.3657,12.9843
86,2.9308,0.7758,5.435,11.4093,13.0069
87,2.963,0.7037,5.5012,11.4515,13.029
88,2.9952,0.6348,5.5645,11.492,13.0504
89,3.0273,0.5694,5.6247,11.5305,13.0706
90,3.059,0.5081,5.6813,11.5666,13.0895
91,3.0899,0.4509,5.734,11.6,13.1068
92,3.1199,0.3984,5.7822,11.6302,13.1221
93,3.1485,0.3507,5.8257,11.6569,13.1351
94,3.1755,0.3081,5.864,11.6797,13.1456
95,3.2008,0.2708,5.8967,11.6984,13.1533
96,3.2239,0.2388,5.9234,11.7124,13.1578
97,3.2447,0.2124,5.9437,11.7215,13.1589
98,3.2631,0.1918,5.9572,11.7254,13.1563
99,3.2788,0.1773,5.9636,11.7236,13.1498
100,3.2917,0.1699,5.9624,11.7158,13.139
101,3.3023,0.1696,5.9541,11.7022,13.124
102,3.3111,0.1766,5.9396,11.6836,13.1053
103,3.3182,0.191,5.9192,11.66,13.083
104,3.3238,0.2128,5.8929,11.6318,13.0572
105,3.3281,0.2415,5.8612,11.599,13.0281
106,3.3312,0.2767,5.8241,11.562,12.996
107,3.3334,0.3177,5.782,11.5208,12.9609
108,3.3348,0.3641,5.7351,11.4758,12.9232
109,3.3357,0.4155,5.6835,11.4272,12.8828
110,3.3363,0.4714,5.6276,11.3751,12.8402
111,3.3369,0.5316,5.5675,11.3198,12.7953
112,3.3376,0.5958,5.5035,11.2615,12.7485
113,3.3388,0.6637,5.4358,11.2004,12.6999
114,3.3406,0.7351,5.3646,11.1368,12.6497
115,3.3433,0.8097,5.2902,11.0708,12.5981
116,3.347,0.8873,5.2127,11.0027,12.5453
117,3.3519,0.9676,5.1325,10.9328,12.4916
118,3.3583,1.0505,5.0498,10.8611,12.437
119,3.3662,1.1356,4.9647,10.7881,12.3817
120,3.3758,1.2228,4.8775,10.7138,12.3261
121,3.3872,1.3119,4.7885,10.6385,12.2701
122,3.4005,1.4025,4.6979,10.5625,12.2142
123,3.4157,1.4945,4.6058,10.4859,12.1583
124,3.4329,1.5876,4.5126,10.409,12.1027
125,3.452,1.6817,4.4184,10.332,12.0476
126,3.4731,1.7764,4.3235,10.2551,11.9932
127,3.4961,1.8716,4.2281,10.1786,11.9396
128,3.5209,1.9671,4.1325,10.1026,11.8869
129,3.5474,2.0625,4.0369,10.0273,11.8354
130,3.5755,2.1578,3.9415,9.9531,11.7852
131,3.6051,2.2526,3.8465,9.88,11.7364
132,3.6359,2.3467,3.7522,9.8083,11.6892
133,3.6678,2.44,3.6588,9.7381,11.6438
134,3.7006,2.5321,3.5666,9.6698,11.6001
135,3.734,2.6228,3.4757,9.6034,11.5585
136,3.7679,2.712,3.3865,9.5392,11.519
137,3.8019,2.7994,3.2992,9.4774,11.4817
138,3.8359,2.8848,3.2139,9.4181,11.4467
139,3.8696,2.9679,3.131,9.3615,11.4142
140,3.9027,3.0486,3.0507,9.3077,11.3842
141,3.9353,3.127,2.9727,9.2567,11.3565
142,3.9674,3.2032,2.8972,9.2081,11.3309
143,3.9991,3.2773,2.8238,9.1619,11.3073
144,4.0304,3.3496,2.7524,9.1178,11.2854
145,4.0615,3.4202,2.683,9.0755,11.265
146,4.0924,3.4892,2.6154,9.035,11.2461
147,4.1232,3.5567,2.5494,8.996,11.2282
148,4.1541,3.6229,2.4849,8.9583,11.2114
149,4.1852,3.688,2.4217,8.9217,11.1953
150,4.2166,3.752,2.3597,8.8861,11.1799
151,4.2484,3.8151,2.2988,8.8512,11.1649
152,4.2807,3.8775,2.2388,8.8168,11.1501
153,4.3137,3.9392,2.1795,8.7827,11.1354
154,4.3476,4.0005,2.1208,8.7488,11.1206
155,4.3823,4.0614,2.0625,8.7149,11.1055
156,4.4182,4.1221,2.0044,8.6806,11.09
157,4.4554,4.1826,1.9463,8.646,11.0738
158,4.4939,4.2433,1.8882,8.6107,11.0568
159,4.5339,4.3041,1.8298,8.5746,11.0389
160,4.5756,4.3652,1.7708,8.5375,11.0198
161,4.6192,4.4268,1.7113,8.4992,10.9995
162,4.6647,4.4889,1.6508,8.4595,10.9776
163,4.7123,4.5518,1.5893,8.4182,10.9542
164,4.7623,4.6156,1.5266,8.3751,10.9291
165,4.8146,4.6803,1.4625,8.3301,10.902
166,4.8696,4.7463,1.3967,8.283,10.8728
167,4.9273,4.8135,1.3291,8.2336,10.8414
168,4.9879,4.8823,1.2595,8.1816,10.8077
169,5.0516,4.9526,1.1877,8.127,10.7714
170,5.1185,5.0248,1.1135,8.0695,10.7325
171,5.1888,5.0989,1.0367,8.009,10.6908
172,5.2626,5.1751,0.9572,7.9453,10.6462
173,5.3401,5.2537,0.8747,7.8782,10.5986
174,5.4215,5.3347,0.7891,7.8076,10.5478
175,5.5069,5.4184,0.7003,7.7332,10.4937
176,5.5965,5.5049,0.6082,7.655,10.4362
177,5.6905,5.5945,0.513,7.5727,10.3751
178,5.789,5.6874,0.4149,7.4862,10.3105
179,5.8922,5.7837,0.3151,7.3953,10.2421
180,6.0002,5.8837,0.2176,7.3,10.17
181,6.1161,5.9887,0.1395,7.1965,10.0904
182,6.2422,6.1001,0.1473,7.0821,10.0004
183,6.3779,6.2174,0.2473,6.9573,9.9006
184,6.5224,6.3405,0.3807,6.8228,9.7917
185,6.6752,6.4692,0.5293,6.6793,9.6745
186,6.8355,6.6032,0.6881,6.5274,9.5495
187,7.0027,6.7422,0.8551,6.3679,9.4174
188,7.1762,6.886,1.0293,6.2013,9.279
189,7.3554,7.0342,1.2098,6.0283,9.1349
190,7.5396,7.1865,1.3957,5.8496,8.9858
191,7.7281,7.3425,1.5865,5.6658,8.8322
192,7.9204,7.5017,1.7814,5.4777,8.6749
