Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,0.5987,3.9384,6.628,13.6263,15.8624
2,0.5934,3.9318,6.6262,13.6234,15.8582
3,0.5779,3.9124,6.6208,13.6147,15.8457
4,0.5533,3.881,6.612,13.6005,15.8252
5,0.5208,3.838,6.6001,13.581,15.7973
6,0.4824,3.7842,6.5853,13.5566,15.7623
7,0.4409,3.7201,6.568,13.5276,15.7205
8,0.4005,3.6466,6.5485,13.4942,15.6725
9,0.3677,3.5641,6.5271,13.4568,15.6185
10,0.351,3.4733,6.5043,13.4156,15.5591
11,0.3588,3.375,6.4803,13.371,15.4946
12,0.3951,3.2696,6.4556,13.3234,15.4254
13,0.4575,3.158,6.4305,13.2729,15.352
14,0.5403,3.0406,6.4053,13.22,15.2747
15,0.6382,2.9181,6.3803,13.1648,15.194
16,0.7472,2.7912,6.3558,13.1077,15.1101
17,0.8643,2.6605,6.332,13.0488,15.0235
18,0.9876,2.5266,6.3091,12.9885,14.9346
19,1.1155,2.3902,6.2873,12.927,14.8436
20,1.2467,2.2518,6.2666,12.8644,14.7509
21,1.3802,2.1121,6.247,12.8008,14.6568
22,1.515,1.9716,6.2286,12.7366,14.5617
23,1.6504,1.831,6.2113,12.6716,14.4656
24,1.7856,1.6909,6.1949,12.6062,14.3691
25,1.9198,1.5518,6.1792,12.5402,14.2722
26,2.0523,1.4143,6.164,12.4738,14.1752
27,2.1824,1.279,6.149,12.407,14.0783
28,2.3095,1.1464,6.1339,12.3397,13.9818
29,2.4329,1.0171,6.1182,12.272,13.8858
30,2.552,0.8919,6.1014,12.2038,13.7904
31,2.6663,0.7713,6.0832,12.1351,13.6958
32,2.775,0.6562,6.063,12.0656,13.6023
33,2.8776,0.5479,6.0402,11.9955,13.5098
34,2.9735,0.4483,6.0143,11.9244,13.4186
35,3.0622,0.3607,5.9846,11.8524,13.3288
36,3.1433,0.2915,5.9506,11.7794,13.2406
37,3.2172,0.2493,5.9135,11.7063,13.1547
38,3.2852,0.2411,5.8747,11.6341,13.0717
39,3.3475,0.2657,5.8339,11.5628,12.9914
40,3.4043,0.3125,5.7912,11.4923,12.9137
41,3.4559,0.371,5.7463,11.4223,12.8384
42,3.5025,0.4351,5.6992,11.3529,12.7656
43,3.5442,0.5017,5.6497,11.284,12.695
44,3.5815,0.5693,5.5978,11.2154,12.6267
45,3.6145,0.6371,5.5435,11.1472,12.5604
46,3.6435,0.705,5.4867,11.0792,12.4961
47,3.6687,0.7729,5.4274,11.0115,12.4338
48,3.6905,0.8408,5.3656,10.944,12.3734
49,3.7091,0.909,5.3013,10.8766,12.3147
50,3.7248,0.9776,5.2346,10.8094,12.2579
51,3.7379,1.0468,5.1654,10.7423,12.2026
52,3.7488,1.1168,5.0937,10.6753,12.1491
53,3.7576,1.1879,5.0197,10.6084,12.0971
54,3.7647,1.2601,4.9434,10.5416,12.0466
55,3.7704,1.3336,4.8649,10.4749,11.9976
56,3.775,1.4085,4.7841,10.4082,11.95
57,3.7788,1.4851,4.7012,10.3417,11.9038
58,3.7822,1.5633,4.6162,10.2752,11.8589
59,3.7855,1.6434,4.5293,10.2088,11.8153
60,3.7889,1.7252,4.4404,10.1426,11.7729
61,3.7928,1.8089,4.3497,10.0764,11.7316
62,3.7975,1.8944,4.2573,10.0103,11.6915
63,3.8032,1.9818,4.1632,9.9443,11.6524
64,3.8104,2.0712,4.0676,9.8784,11.6143
65,3.8192,2.1623,3.9705,9.8125,11.5771
66,3.8299,2.2553,3.8719,9.7468,11.5408
67,3.8428,2.35,3.7721,9.6811,11.5053
68,3.8581,2.4465,3.6711,9.6155,11.4705
69,3.8761,2.5446,3.5689,9.5499,11.4363
70,3.897,2.6442,3.4656,9.4843,11.4027
71,3.9209,2.7454,3.3614,9.4187,11.3695
72,3.9481,2.848,3.2563,9.353,11.3367
73,3.9786,2.9518,3.1503,9.2872,11.3041
74,4.0126,3.057,3.0436,9.2213,11.2718
75,4.0501,3.1632,2.9363,9.1553,11.2395
76,4.0914,3.2705,2.8283,9.0889,11.2071
77,4.1363,3.3788,2.7198,9.0223,11.1746
78,4.185,3.4879,2.6107,8.9553,11.1418
79,4.2374,3.5977,2.5013,8.8879,11.1086
80,4.2937,3.7083,2.3914,8.82,11.0748
81,4.3536,3.8194,2.2811,8.7514,11.0404
82,4.4172,3.931,2.1705,8.6822,11.0052
83,4.4845,4.043,2.0596,8.6122,10.969
84,4.5554,4.1553,1.9485,8.5412,10.9317
85,4.6297,4.2679,1.837,8.4693,10.8932
86,4.7075,4.3807,1.7252,8.3962,10.8532
87,4.7887,4.4935,1.6132,8.3219,10.8117
88,4.8731,4.6064,1.5009,8.2462,10.7685
89,4.9607,4.7192,1.3883,8.1689,10.7233
90,5.0514,4.832,1.2754,8.0901,10.6761
91,5.1451,4.9447,1.1622,8.0094,10.6266
92,5.2418,5.0572,1.0487,7.9268,10.5747
93,5.3412,5.1695,0.935,7.8421,10.5202
94,5.4435,5.2816,0.8211,7.7551,10.4629
95,5.5485,5.3935,0.7072,7.6657,10.4027
96,5.6562,5.5052,0.5939,7.5737,10.3392
97,5.7665,5.6167,0.482,7.479,10.2725
98,5.8794,5.7279,0.3739,7.3813,10.2022
99,5.9949,5.839,0.2756,7.2805,10.1281
100,6.1129,5.9499,0.2045,7.1764,10.0502
101,6.2335,6.0607,0.1966,7.0689,9.9681
102,6.3565,6.1715,0.26,6.958,9.8821
103,6.4817,6.2824,0.3604,6.8439,9.7923
104,6.6089,6.3933,0.4764,6.7267,9.6989
105,6.7381,6.5044,0.5999,6.6064,9.602
106,6.869,6.6158,0.7281,6.4833,9.5018
107,7.0017,6.7274,0.8595,6.3575,9.3984
108,7.1358,6.8393,0.9935,6.2291,9.2921
109,7.2713,6.9516,1.1297,6.0983,9.1831
110,7.4082,7.0642,1.2678,5.9651,9.0714
111,7.5462,7.1773,1.4075,5.8298,8.9574
112,7.6853,7.2907,1.5488,5.6926,8.8411
113,7.8253,7.4046,1.6914,5.5534,8.7227
114,7.9662,7.5188,1.8352,5.4126,8.6025
115,8.1077,7.6334,1.9801,5.2703,8.4806
116,8.2499,7.7485,2.126,5.1266,8.3572
117,8.3926,7.8638,2.2726,4.9817,8.2325
118,8.5356,7.9794,2.4199,4.8358,8.1067
119,8.6789,8.0953,2.5678,4.689,7.98
120,8.8223,8.2114,2.716,4.5415,7.8525
121,8.9657,8.3276,2.8644,4.3935,7.7244
122,9.109,8.4439,3.013,4.2452,7.5961
123,9.252,8.5601,3.1615,4.0966,7.4675
124,9.3946,8.6762,3.3098,3.948,7.339
125,9.5367,8.7922,3.4577,3.7996,7.2107
126,9.6782,8.9078,3.6051,3.6516,7.0827
127,9.8188,9.023,3.7518,3.504,6.9554
128,9.9584,9.1377,3.8976,3.3572,6.8289
129,10.097,9.2518,4.0425,3.2112,6.7033
130,10.2344,9.3652,4.1862,3.0663,6.5789
131,10.3703,9.4776,4.3285,2.9226,6.4558
132,10.5047,9.5891,4.4694,2.7804,6.3343
133,10.6374,9.6994,4.6085,2.6397,6.2144
134,10.7683,9.8084,4.7458,2.5009,6.0965
135,10.8971,9.916,4.8811,2.364,5.9806
136,11.0238,10.022,5.0142,2.2292,5.867
137,11.1482,10.1264,5.1449,2.0968,5.7557
138,11.2701,10.2288,5.273,1.9669,5.6471
139,11.3893,10.3292,5.3985,1.8397,5.5411
140,11.5057,10.4275,5.521,1.7155,5.4381
141,11.6191,10.5234,5.6404,1.5943,5.3381
142,11.7294,10.6168,5.7566,1.4763,5.2413
143,11.8364,10.7076,5.8693,1.3619,5.1478
144,11.9399,10.7955,5.9784,1.2511,5.0578
145,12.0397,10.8805,6.0837,1.1441,4.9713
146,12.1357,10.9623,6.1849,1.0412,4.8886
147,12.2277,11.0408,6.282,0.9425,4.8097
148,12.3155,11.1159,6.3748,0.8482,4.7347
149,12.399,11.1873,6.463,0.7585,4.6638
150,12.478,11.2549,6.5465,0.6736,4.597
151,12.5523,11.3185,6.625,0.5938,4.5344
152,12.6218,11.3781,6.6985,0.5191,4.4761
153,12.6862,11.4333,6.7667,0.4499,4.4222
154,12.7454,11.4841,6.8294,0.3863,4.3728
155,12.7993,11.5302,6.8864,0.3285,4.328
156,12.8476,11.5716,6.9376,0.2768,4.2878
157,12.8901,11.6081,6.9828,0.2313,4.2524
158,12.9268,11.6395,7.0218,0.1924,4.2217
159,12.9575,11.6656,7.0544,0.1602,4.196
160,12.9819,11.6864,7.0805,0.1349,4.1753
161,12.9983,11.699,7.0989,0.1162,4.1567
162,13.0062,11.702,7.1102,0.1042,4.1365
163,13.0075,11.6969,7.116,0.1008,4.1137
164,13.0038,11.6854,7.1182,0.1095,4.0875
165,12.997,11.6692,7.1187,0.1315,4.0571
166,12.9888,11.6501,7.1193,0.1654,4.0216
167,12.9812,11.6297,7.1218,0.2089,3.9801
168,12.9758,11.6098,7.1281,0.2605,3.9317
169,12.9746,11.5921,7.1402,0.3195,3.8755
170,12.9794,11.5785,7.1599,0.3857,3.8106
171,12.9918,11.5703,7.1888,0.4592,3.7361
172,13.0117,11.568,7.2268,0.5403,3.6525
173,13.0389,11.5712,7.2736,0.629,3.5603
174,13.0731,11.58,7.3288,0.7251,3.4602
175,13.1139,11.5943,7.3919,0.8282,3.3528
176,13.161,11.6138,7.4626,0.9379,3.2389
177,13.2141,11.6385,7.5402,1.0535,3.1189
178,13.2728,11.6682,7.6243,1.1746,2.9937
179,13.3367,11.7027,7.7145,1.3005,2.8639
180,13.4055,11.7417,7.81,1.4306,2.73
181,13.4786,11.785,7.9105,1.5642,2.5929
182,13.5556,11.8324,8.0152,1.7007,2.4531
183,13.6361,11.8834,8.1235,1.8394,2.3113
184,13.7197,11.9379,8.2348,1.9797,2.1683
185,13.8057,11.9954,8.3486,2.1208,2.0247
186,13.8937,12.0556,8.464,2.262,1.8811
187,13.9832,12.1179,8.5805,2.4028,1.7383
188,14.0736,12.1821,8.6973,2.5424,1.5969
189,14.1644,12.2475,8.8138,2.6802,1.4577
190,14.2549,12.3138,8.9294,2.8155,1.3214
191,14.3447,12.3804,9.0432,2.9475,1.1887
192,14.4331,12.4468,9.1546,3.0757,1.0603
193,14.5195,12.5125,9.2629,3.1993,0.9369
194,14.6034,12.577,9.3674,3.3177,0.8195
195,14.6841,12.6396,9.4674,3.4301,0.7088
196,14.761,12.6999,9.5623,3.536,0.6058
197,14.8335,12.7572,9.6512,3.6346,0.5114
198,14.9011,12.8111,9.7336,3.7252,0.4268
199,14.963,12.8609,9.8087,3.8072,0.3533
200,15.0188,12.906,9.8759,3.8799,0.2923
201,15.0679,12.9462,9.9348,3.9429,0.245
202,15.1109,12.9817,9.9858,3.9968,0.2111
203,15.1484,13.013,10.0298,4.0426,0.1895
204,15.1809,13.0405,10.0675,4.081,0.1783
205,15.2092,13.0648,10.0998,4.113,0.1745
206,15.2339,13.0864,10.1276,4.1395,0.1752
