Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,-56.6444,-28.8903,-93.663,-83.3807,-70.0684
2,-56.9909,-28.863,-93.6754,-83.3628,-70.0439
3,-58.0426,-28.7808,-93.7107,-83.3089,-69.9707
4,-59.879,-28.644,-93.7661,-83.219,-69.8492
5,-62.6729,-28.4534,-93.8389,-83.0931,-69.6801
6,-66.7148,-28.21,-93.927,-82.9313,-69.4641
7,-72.4454,-27.915,-94.0281,-82.7337,-69.2018
8,-80.4551,-27.57,-94.1402,-82.5006,-68.8941
9,-91.3256,-27.1767,-94.2613,-82.2322,-68.5418
10,-105.0809,-26.7371,-94.3893,-81.9288,-68.1456
11,-120.3982,-26.253,-94.5221,-81.5906,-67.7064
12,-134.8699,-25.7264,-94.6577,-81.2179,-67.225
13,-146.7031,-25.1595,-94.7937,-80.8109,-66.7022
14,-155.5642,-24.5543,-94.9277,-80.3699,-66.1387
15,-161.9497,-23.9126,-95.057,-79.8949,-65.5354
16,-166.4965,-23.2364,-95.179,-79.3862,-64.8928
17,-169.7229,-22.5272,-95.2905,-78.8438,-64.2116
18,-172.0012,-21.7863,-95.3884,-78.2677,-63.4924
19,-173.5901,-21.0143,-95.4695,-77.6579,-62.7356
20,-174.6699,-20.2113,-95.5304,-77.0142,-61.9418
21,-175.3675,-19.3764,-95.5675,-76.3365,-61.1111
22,-175.7724,-18.5071,-95.5773,-75.6244,-60.2441
23,-175.9476,-17.5991,-95.5561,-74.8777,-59.3406
24,-175.938,-16.6453,-95.5003,-74.0959,-58.401
25,-175.7768,-15.6345,-95.4066,-73.2786,-57.4251
26,-175.4909,-14.5498,-95.2714,-72.4252,-56.413
27,-175.1031,-13.3658,-95.0915,-71.5351,-55.3642
28,-174.6333,-12.0446,-94.8637,-70.6074,-54.2787
29,-174.0991,-10.5295,-94.5851,-69.6415,-53.1559
30,-173.516,-8.7361,-94.2529,-68.6365,-51.9954
31,-172.8977,-6.5454,-93.8646,-67.5914,-50.7966
32,-172.2569,-3.8604,-93.4177,-66.5052,-49.5587
33,-171.6051,2.2575,-92.9098,-65.3768,-48.2811
34,-170.9535,6.9337,-92.3389,-64.205,-46.9629
35,-170.3128,15.4448,-91.7028,-62.9884,-45.603
36,-169.6935,28.6225,-90.9992,-61.7256,-44.2005
37,-169.0772,47.2657,-90.2331,-60.4223,-42.7617
38,-168.4411,68.9483,-89.4107,-59.0836,-41.2919
39,-167.7886,88.293,-88.5309,-57.7073,-39.789
40,-167.1222,102.4147,-87.5931,-56.2914,-38.2508
41,-166.4439,112.0007,-86.5962,-54.8338,-36.6749
42,-165.7552,118.5319,-85.5394,-53.3324,-35.0593
43,-165.057,123.1122,-84.4217,-51.7851,-33.4019
44,-164.3502,126.4313,-83.2421,-50.1901,-31.7005
45,-163.635,128.9119,-81.9994,-48.5452,-29.9532
46,-162.9117,130.8195,-80.6924,-46.8486,-28.1579
47,-162.1801,132.3281,-79.3201,-45.0982,-26.3126
48,-161.44,133.556,-77.881,-43.292,-24.4153
49,-160.6907,134.5875,-76.3738,-41.4282,-22.4642
50,-159.9318,135.4844,-74.7971,-39.5049,-20.4574
51,-159.1631,136.2929,-73.1504,-37.521,-18.3938
52,-158.3881,137.0456,-71.4365,-35.479,-16.2762
53,-157.6109,137.7668,-69.6592,-33.3825,-14.1082
54,-156.8352,138.4753,-67.8221,-31.2349,-11.8936
55,-156.0648,139.186,-65.9291,-29.0398,-9.6362
56,-155.303,139.9105,-63.9836,-26.8005,-7.3409
57,-154.5529,140.6578,-61.9892,-24.5207,-5.014
58,-153.8175,141.4348,-59.9495,-22.204,-2.6733
59,-153.0991,142.2469,-57.8679,-19.8537,-0.6155
60,-152.4,143.0976,-55.7479,-17.4736,2.2904
61,-151.7221,143.9895,-53.593,-15.0672,4.7
62,-151.0668,144.924,-51.4065,-12.6382,7.1546
63,-150.4353,145.9014,-49.1918,-10.1903,9.6304
64,-149.8283,146.9215,-46.9524,-7.7274,12.1201
65,-149.2462,147.9833,-44.6915,-5.2537,14.6188
66,-148.6889,149.0853,-42.4126,-2.7762,17.1223
67,-148.1562,150.2255,-40.1192,-0.3934,19.6267
68,-147.6474,151.4014,-37.8145,2.2352,22.1284
69,-147.1614,152.6103,-35.502,4.7128,24.6234
70,-146.6971,153.8492,-33.1853,7.1904,27.1082
71,-146.253,155.1149,-30.8677,9.6594,29.5792
72,-145.8276,156.404,-28.553,12.115,32.0326
73,-145.4192,157.7131,-26.2449,14.5532,34.4649
74,-145.0261,159.0384,-23.947,16.9702,36.8726
75,-144.6466,160.3764,-21.6634,19.3621,39.2519
76,-144.2793,161.7233,-19.3981,21.7251,41.5994
77,-143.9226,163.0754,-17.1554,24.0555,43.9115
78,-143.5754,164.4289,-14.9398,26.3494,46.1847
79,-143.2366,165.7802,-12.7562,28.6031,48.4155
80,-142.9058,167.1254,-10.6097,30.8127,50.6004
81,-142.5824,168.4609,-8.5062,32.9745,52.736
82,-142.2664,169.7829,-6.4522,35.0847,54.8188
83,-141.9583,171.0878,-4.4548,37.1395,56.8454
84,-141.6586,172.372,-2.5243,39.1351,58.8124
85,-141.3684,173.6319,-0.6915,41.0678,60.7165
86,-141.089,174.8637,1.1513,42.9336,62.5542
87,-140.8222,176.0638,2.8187,44.7288,64.3224
88,-140.5699,177.2282,4.3837,46.4497,66.0177
89,-140.3343,178.3504,5.8172,48.0924,67.6368
90,-140.1181,179.4048,7.0912,49.6531,69.1764
91,-139.9239,-179.4434,8.1692,51.128,70.6335
92,-139.7548,-178.4835,9.0004,52.5134,72.0048
93,-139.6139,-177.5455,9.511,53.8053,73.2871
94,-139.5045,-176.6575,9.5872,55,74.4773
95,-139.4301,-175.825,9.0449,56.0936,75.5723
96,-139.3943,-175.0522,7.5643,57.0823,76.569
97,-139.4007,-174.3424,4.5581,57.9622,77.4643
98,-139.4532,-173.6986,-1.8252,58.7292,78.2553
99,-139.5555,-173.1241,-13.2495,59.3796,78.9389
100,-139.7117,-172.6219,-36.7075,59.9092,79.5121
101,-139.8712,-172.1407,-71.9771,60.3692,80.0271
102,-139.985,-171.6308,-99.1111,60.8126,80.537
103,-140.0589,-171.0976,-113.199,61.2381,81.0405
104,-140.0987,-170.5463,-120.4836,61.6442,81.5361
105,-140.1097,-169.9819,-124.5479,62.0294,82.0225
106,-140.0974,-169.409,-126.952,62.3924,82.4983
107,-140.0667,-168.8323,-128.4213,62.7317,82.9621
108,-140.0225,-168.2562,-129.3275,63.0456,83.4125
109,-139.9697,-167.6849,-129.8785,63.3327,83.848
110,-139.9128,-167.1225,-130.1987,63.5915,84.2671
111,-139.8561,-166.5732,-130.3673,63.8202,84.6684
112,-139.8039,-166.0406,-130.4369,64.0174,85.0504
113,-139.7603,-165.5287,-130.4439,64.1813,85.4117
114,-139.7291,-165.0409,-130.4145,64.3104,85.7507
115,-139.7141,-164.5809,-130.368,64.4029,86.066
116,-139.7191,-164.1521,-130.3191,64.4573,86.356
117,-139.7475,-163.7578,-130.2795,64.4717,86.6192
118,-139.8028,-163.4013,-130.2581,64.4445,86.8541
119,-139.8884,-163.0857,-130.2626,64.374,87.0591
120,-140.0073,-162.8141,-130.2993,64.2584,87.2326
121,-140.1629,-162.5895,-130.3732,64.096,87.3732
122,-140.358,-162.4148,-130.4891,63.8851,87.4791
123,-140.5957,-162.2928,-130.6511,63.6239,87.5487
124,-140.879,-162.2264,-130.8626,63.3106,87.5804
125,-141.2105,-162.2183,-131.1271,62.9435,87.5724
126,-141.5931,-162.2711,-131.4474,62.5208,87.523
127,-142.0295,-162.3875,-131.8265,62.0407,87.4304
128,-142.5224,-162.5699,-132.267,61.5014,87.2928
129,-143.0742,-162.8209,-132.7713,60.9013,87.1083
130,-143.6877,-163.1431,-133.3418,60.2384,86.8748
131,-144.3652,-163.5386,-133.9809,59.5111,86.5904
132,-145.1094,-164.0101,-134.6909,58.7175,86.2529
133,-145.9226,-164.5599,-135.4738,57.8559,85.8601
134,-146.8072,-165.1902,-136.3319,56.9246,85.4095
135,-147.7656,-165.9033,-137.2672,55.9219,84.8987
136,-148.8003,-166.7015,-138.2819,54.846,84.3251
137,-149.9134,-167.5872,-139.378,53.6953,83.6859
138,-151.1074,-168.5624,-140.5575,52.4682,82.9782
139,-152.3845,-169.6295,-141.8225,51.163,82.1989
140,-153.747,-170.7907,-143.1751,49.7783,81.3447
141,-155.1972,-172.048,-144.6172,48.3127,80.4121
142,-156.7373,-173.4037,-146.1509,46.7649,79.3973
143,-158.3696,-174.8599,-147.7781,45.1336,78.2964
144,-160.0963,-176.4188,-149.501,43.4182,77.1053
145,-161.9197,-178.0817,-151.3216,41.6179,75.8196
146,-163.8418,-179.8198,-153.2419,39.7328,74.4346
147,-165.8651,178.2598,-155.264,37.7636,72.9455
148,-167.9917,176.2692,-157.3899,35.7119,71.3471
149,-170.2237,174.1636,-159.6217,33.5814,69.6343
150,-172.5633,171.9418,-161.9616,31.3786,67.8014
151,-175.0124,169.6016,-164.4116,29.1146,65.8428
152,-177.5713,167.1408,-166.9739,26.8091,63.7527
153,179.6835,164.5573,-169.6506,24.496,61.5252
154,176.9451,161.8487,-172.4438,22.2364,59.1541
155,174.0348,159.0127,-175.3557,20.1378,56.6336
156,171.0015,156.047,-178.3883,18.3888,53.9576
157,167.844,152.9491,178.4531,17.2895,51.1201
158,164.5603,149.7168,175.172,17.2257,48.1155
159,161.1482,146.3474,171.7622,18.4914,44.938
160,157.6053,142.8385,168.222,21.0359,41.5824
161,152.9095,138.1673,163.5467,-24.7748,36.9617
162,146.4074,131.6811,157.0982,-33.4035,30.372
163,138.6491,123.9325,149.425,-50.1883,22.3857
164,130.1851,115.4742,141.0754,-72.2853,13.5871
165,121.5655,106.8588,132.5977,-94.2475,4.6875
166,113.3408,98.6392,124.5401,-113.1473,-4.752
167,106.0612,91.3678,117.4505,-128.6226,-12.5025
168,100.2767,85.5972,111.876,-140.9671,-18.9781
169,96.5372,81.8799,108.3636,-150.3241,-23.4797
170,95.3925,80.768,107.4591,-156.6087,-25.4252
171,95.7446,81.1656,108.0606,-161.0911,-25.8911
172,96.1305,81.6096,108.7016,-165.1375,-26.3335
173,96.5519,82.1013,109.3812,-168.7172,-26.7509
174,97.011,82.642,110.0981,-171.8238,-27.1414
175,97.5095,83.2329,110.8515,-174.4352,-27.5033
176,98.0493,83.8751,111.6409,-176.4298,-27.8343
177,98.6325,84.5699,112.4659,177.3862,-28.1327
178,99.2611,85.3185,113.3266,176.9736,-28.3964
179,99.9373,86.1219,114.2236,175.9168,-28.6239
180,100.6631,86.9816,115.1577,174.7955,-28.8135
181,101.4411,87.8989,116.1303,173.7794,-28.9643
182,102.2735,88.8752,117.143,172.9126,-29.0758
183,103.1631,89.9121,118.1982,172.2055,-29.148
184,104.1124,91.0113,119.2982,171.6585,-29.1821
185,105.1243,92.1747,120.446,171.2689,-29.1803
186,106.2019,93.4042,121.645,171.0337,-29.1467
187,107.3481,94.7019,122.8985,170.9501,-29.0874
188,108.5661,96.0701,124.2104,171.016,-29.0114
189,109.8594,97.5113,125.5848,171.2303,-28.932
190,111.2312,99.028,127.0258,171.5921,-28.8677
191,112.6853,100.623,128.538,172.1017,-28.8451
192,114.2252,102.2991,130.1257,172.7595,-28.9015
