Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,83.6352,51.8051,-20.92,-9.8034,3.9966
2,83.8443,51.8609,-20.8773,-9.7595,4.041
3,84.4706,52.0255,-20.7522,-9.6308,4.1711
4,85.511,52.2949,-20.5492,-9.4217,4.3826
5,86.9597,52.665,-20.2727,-9.1369,4.6711
6,88.8076,53.1316,-19.9274,-8.7808,5.0323
7,91.0407,53.6908,-19.5176,-8.3579,5.4617
8,93.6389,54.3384,-19.0479,-7.8727,5.955
9,96.5752,55.0707,-18.5228,-7.3297,6.5077
10,99.8144,55.8836,-17.9467,-6.7334,7.1154
11,103.3135,56.7731,-17.3243,-6.0884,7.7736
12,107.022,57.7355,-16.66,-5.3991,8.4778
13,110.8843,58.7668,-15.9583,-4.6702,9.2236
14,114.8422,59.8633,-15.2238,-3.9062,10.0064
15,118.8377,61.0211,-14.4609,-3.112,10.8218
16,122.8168,62.2365,-13.6742,-2.2925,11.6654
17,126.7318,63.5056,-12.8682,-1.454,12.5326
18,130.543,64.8248,-12.0475,-0.6158,13.419
19,134.2196,66.1904,-11.2165,0.3665,14.32
20,137.7394,67.5986,-10.3798,1.2003,15.2314
21,141.088,69.0458,-9.5419,2.0789,16.1485
22,144.2577,70.5281,-8.7074,2.962,17.067
23,147.2456,72.042,-7.8808,3.8416,17.9824
24,150.0528,73.5838,-7.0667,4.7125,18.8903
25,152.6828,75.1495,-6.2696,5.5698,19.7863
26,155.1408,76.7355,-5.4939,6.4091,20.6658
27,157.4327,78.3379,-4.7444,7.2256,21.5245
28,159.5646,79.9528,-4.0256,8.015,22.358
29,161.5426,81.5763,-3.342,8.7727,23.1619
30,163.3724,83.2041,-2.6982,9.4943,23.9316
31,165.0589,84.8323,-2.0988,10.1753,24.663
32,166.6067,86.4563,-1.5486,10.8113,25.3515
33,168.0193,88.0718,-1.0524,11.3979,25.9928
34,169.2999,89.6741,-0.616,11.9306,26.5825
35,170.4508,91.2583,-0.2479,12.4051,27.1163
36,171.4741,92.8194,0.1145,12.8168,27.5897
37,172.371,94.3521,0.326,13.1615,27.9984
38,173.1427,95.8508,0.4844,13.4347,28.3382
39,173.7897,97.3097,0.5635,13.632,28.6045
40,174.3123,98.7228,0.5588,13.7491,28.7933
41,174.7527,100.127,0.5084,13.8255,28.944
42,175.1548,101.5603,0.455,13.904,29.0992
43,175.5211,103.0171,0.3988,13.9846,29.259
44,175.8542,104.492,0.3389,14.0674,29.4233
45,176.1563,105.9794,0.2777,14.1527,29.5922
46,176.4302,107.4737,0.2172,14.2404,29.7655
47,176.6775,108.9693,0.1607,14.3308,29.9434
48,176.9004,110.4608,0.117,14.424,30.1256
49,177.1008,111.9429,-0.1162,14.5201,30.3124
50,177.2805,113.4107,-0.157,14.6192,30.5035
51,177.4409,114.8594,-0.2207,14.7214,30.699
52,177.5836,116.2849,-0.2928,14.8269,30.8987
53,177.7099,117.683,-0.3706,14.9357,31.1026
54,177.821,119.0503,-0.4496,15.0479,31.3105
55,177.9179,120.3835,-0.5306,15.1637,31.5224
56,178.0018,121.68,-0.612,15.2831,31.7381
57,178.0736,122.9375,-0.6921,15.4062,31.9574
58,178.1339,124.1539,-0.7718,15.533,32.1802
59,178.1837,125.3277,-0.8489,15.6636,32.4062
60,178.2232,126.4578,-0.923,15.798,32.6353
