Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,0.2912,3.6624,6.0837,13.0759,15.3317
2,0.2913,3.662,6.0829,13.0751,15.3309
3,0.2917,3.661,6.0803,13.0725,15.3285
4,0.2924,3.6593,6.0761,13.0682,15.3244
5,0.2935,3.6569,6.07,13.0622,15.3186
6,0.2951,3.6538,6.0622,13.0543,15.3112
7,0.2974,3.6501,6.0526,13.0447,15.302
8,0.3005,3.6457,6.0411,13.0333,15.2912
9,0.3047,3.6406,6.0278,13.0199,15.2786
10,0.3101,3.635,6.0126,13.0048,15.2642
11,0.317,3.6287,5.9956,12.9877,15.2481
12,0.3256,3.6219,5.9766,12.9688,15.2301
13,0.3362,3.6146,5.9556,12.9479,15.2104
14,0.3488,3.6067,5.9327,12.925,15.1888
15,0.3638,3.5983,5.9078,12.9002,15.1654
16,0.3812,3.5895,5.8809,12.8733,15.1401
17,0.4011,3.5803,5.8519,12.8445,15.1129
18,0.4237,3.5708,5.8209,12.8136,15.0839
19,0.449,3.5609,5.7878,12.7807,15.0529
20,0.477,3.5508,5.7526,12.7456,15.02
21,0.5077,3.5406,5.7152,12.7085,14.9852
22,0.5412,3.5302,5.6757,12.6692,14.9483
23,0.5774,3.5198,5.6341,12.6278,14.9095
24,0.6163,3.5095,5.5902,12.5842,14.8688
25,0.6579,3.4992,5.5441,12.5385,14.826
26,0.7022,3.4892,5.4957,12.4905,14.7812
27,0.7492,3.4796,5.445,12.4403,14.7343
28,0.7988,3.4704,5.3921,12.3878,14.6854
29,0.8511,3.4617,5.3368,12.3331,14.6344
30,0.906,3.4537,5.2792,12.276,14.5814
31,0.9636,3.4465,5.2193,12.2167,14.5262
32,1.0238,3.4402,5.1569,12.155,14.469
33,1.0866,3.435,5.0921,12.091,14.4096
34,1.152,3.431,5.0249,12.0245,14.3481
35,1.2201,3.4284,4.9552,11.9557,14.2845
36,1.2908,3.4273,4.883,11.8845,14.2187
37,1.3642,3.4279,4.8083,11.8108,14.1507
38,1.4403,3.4304,4.7311,11.7347,14.0806
39,1.519,3.435,4.6513,11.6561,14.0083
40,1.6004,3.4418,4.5689,11.575,13.9339
41,1.6845,3.451,4.484,11.4914,13.8572
42,1.7711,3.4628,4.3966,11.4054,13.7785
43,1.86,3.4773,4.307,11.3173,13.698
44,1.9511,3.4946,4.2152,11.2272,13.6158
45,2.0443,3.5149,4.1216,11.1353,13.5321
46,2.1392,3.5381,4.0261,11.0417,13.447
47,2.2358,3.5643,3.9291,10.9467,13.3607
48,2.3338,3.5936,3.8307,10.8503,13.2735
49,2.4332,3.626,3.731,10.7528,13.1853
50,2.5336,3.6614,3.6303,10.6543,13.0965
51,2.635,3.6997,3.5286,10.5551,13.0072
52,2.7372,3.7409,3.4262,10.4552,12.9175
53,2.84,3.7849,3.3232,10.3549,12.8277
54,2.9432,3.8316,3.2198,10.2543,12.7378
55,3.0467,3.8808,3.1162,10.1536,12.648
56,3.1503,3.9324,3.0125,10.0529,12.5586
57,3.2538,3.9863,2.909,9.9525,12.4696
58,3.357,4.0421,2.8057,9.8526,12.3813
59,3.4598,4.0999,2.7028,9.7532,12.2937
60,3.562,4.1593,2.6006,9.6545,12.2071
61,3.6634,4.2201,2.4991,9.5568,12.1216
62,3.7639,4.2822,2.3986,9.4602,12.0373
63,3.8633,4.3453,2.2992,9.3649,11.9545
64,3.9614,4.4092,2.201,9.271,11.8732
65,4.0581,4.4737,2.1044,9.1787,11.7936
66,4.1531,4.5386,2.0093,9.0882,11.7159
67,4.2464,4.6037,1.9161,8.9997,11.6401
68,4.3376,4.6686,1.8248,8.9133,11.5666
69,4.4268,4.7333,1.7356,8.8292,11.4953
70,4.5137,4.7975,1.6488,8.7475,11.4264
71,4.5981,4.861,1.5644,8.6684,11.3602
72,4.6799,4.9235,1.4827,8.5922,11.2966
73,4.7588,4.985,1.4038,8.5189,11.2359
74,4.8348,5.0451,1.3279,8.4487,11.1782
75,4.9077,5.1036,1.2552,8.3819,11.1236
76,4.9773,5.1604,1.1858,8.3184,11.0723
77,5.0434,5.2154,1.12,8.2586,11.0243
78,5.1058,5.2682,1.058,8.2026,10.9799
79,5.1645,5.3187,0.9999,8.1506,10.9391
80,5.2192,5.3667,0.946,8.1026,10.902
81,5.2698,5.4122,0.8963,8.0588,10.8688
82,5.3166,5.4551,0.8508,8.0189,10.839
83,5.3599,5.4955,0.8091,7.9826,10.8124
84,5.3999,5.5336,0.771,7.9494,10.7886
85,5.437,5.5693,0.7361,7.9191,10.7672
86,5.4714,5.6028,0.7042,7.8913,10.7478
