Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,-9.0578,-55.3869,48.3287,-139.1855
2,-9.2341,-55.6295,48.9496,-139.424
3,-9.7543,-56.3454,50.8484,-140.1265
4,-10.6053,-57.5184,54.1815,-141.2728
5,-11.774,-59.1335,59.2369,-142.8414
6,-13.2471,-61.1771,66.3886,-144.8103
7,-15.0111,-63.6366,75.9126,-147.156
8,-17.0523,-66.5003,87.5398,-149.8542
9,-19.3571,-69.7577,99.9761,-152.879
10,-21.9114,-73.3987,111.2197,-156.2025
11,-24.7012,-77.414,119.7676,-159.7917
12,-27.7126,-81.7949,125.2513,-163.6036
13,-30.9313,-86.5329,128.0659,-167.5654
14,-34.3428,-91.6195,128.8321,-171.5005
15,-37.933,-97.0461,128.1144,-174.7268
16,-41.6872,-102.8034,126.3401,174.8135
17,-45.5905,-108.8808,123.8103,171.3662
18,-49.6283,-115.2661,120.7297,166.7653
19,-53.7854,-121.9445,117.2384,161.7646
20,-58.0462,-128.8974,113.4323,156.5523
21,-62.3952,-136.1018,109.3809,151.2002
22,-66.8162,-143.5272,105.1348,145.7476
23,-71.2928,-151.1319,100.7337,140.2214
24,-75.8078,-158.8486,96.2091,134.6434
25,-80.3436,-166.5251,91.5878,129.0323
26,-84.8815,-173.4408,86.8926,123.4053
27,-89.4018,173.9825,82.1442,117.7784
28,-93.8836,167.2425,77.3614,112.1672
29,-98.3042,159.474,72.5618,106.5863
30,-102.639,151.5799,67.7622,101.0502
31,-106.8602,143.7358,62.9787,95.573
32,-110.9367,136.0178,58.2269,90.1687
33,-114.8325,128.4739,53.5218,84.8509
34,-118.5048,121.1403,48.8787,79.6334
35,-121.9022,114.0449,44.3122,74.5296
36,-124.961,107.2107,39.8371,69.5529
37,-127.601,100.6561,35.4679,64.7169
38,-129.7192,94.3966,31.2194,60.0351
39,-131.1825,88.445,27.1065,55.5208
40,-131.8223,82.8131,23.1445,51.1876
41,-131.4343,77.5113,19.3494,47.0491
42,-129.8005,72.5496,15.7391,43.119
43,-126.7538,67.9381,12.3347,39.411
44,-122.3076,63.6869,9.1663,35.9389
45,-116.8125,59.8071,6.2905,32.7168
46,-111.0058,56.3103,3.8655,29.7586
47,-105.8223,53.2092,2.507,27.0787
48,-102.0624,50.5177,-3.1322,24.6911
49,-100.2054,48.2511,-4.6752,22.6101
50,-100.4564,46.4264,-6.2425,20.8501
51,-102.0322,44.8496,-7.7601,19.2742
52,-104.0699,43.3152,-9.3238,17.7362
53,-106.487,41.8231,-10.9178,16.2369
54,-109.1693,40.3732,-12.5341,14.7767
55,-111.9961,38.965,-14.1675,13.3563
56,-114.858,37.5981,-15.8146,11.9773
57,-117.6695,36.2719,-17.4734,10.6412
58,-120.3706,34.9857,-19.142,9.351
59,-122.9255,33.7388,-20.8194,8.1115
60,-125.317,32.5301,-22.5047,6.9302
61,-127.5409,31.3591,-24.1969,5.8208
62,-129.6015,30.2248,-25.8954,4.8075
63,-131.5081,29.1263,-27.5994,3.9351
64,-133.2718,28.0627,-29.3083,3.283
65,-134.9051,27.0333,-31.0213,2.9626
66,-136.4197,26.0374,-32.7375,-3.0467
67,-137.8268,25.0744,-34.4559,-3.4782
68,-139.1366,24.1438,-36.1755,-4.1283
69,-140.3586,23.2455,-37.8949,-4.8929
70,-141.5009,22.3797,-39.6126,-5.7115
71,-142.5709,21.5467,-41.327,-6.5517
72,-143.5755,20.7477,-43.0363,-7.3957
73,-144.5204,19.9842,-44.7383,-8.2331
74,-145.4112,19.2587,-46.4309,-9.0577
75,-146.2526,18.5748,-48.1117,-9.8653
76,-147.0492,17.9372,-49.778,-10.6533
77,-147.805,17.3524,-51.4271,-11.4195
78,-148.524,16.8288,-53.0563,-12.1623
79,-149.2097,16.3773,-54.6625,-12.8804
80,-149.8654,16.0114,-56.2427,-13.5726
81,-150.4944,15.7479,-57.7941,-14.2375
82,-151.0999,15.6071,-59.3133,-14.874
83,-151.6849,15.6127,-60.7976,-15.4808
84,-152.2522,15.7922,-62.2438,-16.0565
85,-152.8048,16.1764,-63.6493,-16.5999
86,-153.3456,16.8003,-65.0109,-17.1092
87,-153.8774,17.7038,-66.3263,-17.5831
88,-154.4032,18.9344,-67.5927,-18.0196
89,-154.9259,20.552,-68.8077,-18.4169
90,-155.4485,22.6364,-69.9688,-18.773
91,-155.9739,25.2978,-71.074,-19.0859
92,-156.5055,28.6913,-72.1208,-19.3533
93,-157.0464,33.0307,-73.1072,-19.573
94,-157.6,38.5925,-74.0312,-19.7426
95,-158.17,45.6742,-74.8903,-19.8595
96,-158.7601,54.4491,-75.6825,-19.9214
97,-159.3742,64.6719,-76.405,-19.9254
98,-160.0165,75.4274,-77.0554,-19.8692
99,-160.6916,85.3614,-77.6305,-19.7502
100,-161.4043,93.391,-78.127,-19.5658
101,-162.1203,99.3717,-78.532,-19.2985
102,-162.8036,103.7039,-78.8382,-18.9348
103,-163.4567,106.7278,-79.0489,-18.478
104,-164.0824,108.7782,-79.1681,-17.9318
105,-164.683,110.1278,-79.1992,-17.3001
106,-165.2609,110.9814,-79.1456,-16.5869
107,-165.8185,111.4898,-79.0108,-15.7967
108,-166.3578,111.7621,-78.798,-14.9344
109,-166.8809,111.8769,-78.5104,-14.0051
110,-167.3898,111.8915,-78.151,-13.0152
111,-167.8862,111.8476,-77.7229,-11.9716
112,-168.3717,111.7752,-77.229,-10.8834
113,-168.8475,111.6971,-76.6725,-9.7619
114,-169.3151,111.6289,-76.056,-8.6231
115,-169.7753,111.5822,-75.3824,-7.4913
116,-170.229,111.5652,-74.6547,-6.4049
117,-170.6766,111.5836,-73.8756,-5.4305
118,-171.1187,111.6406,-73.0478,-4.6796
119,-171.5553,111.7388,-72.1744,-4.3113
120,-171.9862,111.8786,-71.2581,4.4556
121,-172.411,112.0607,-70.3021,5.0935
122,-172.8292,112.2841,-69.3093,6.0876
123,-173.2399,112.5477,-68.2829,7.3038
124,-173.6421,112.8501,-67.2263,8.6547
125,-174.0343,113.1895,-66.1433,10.0884
126,-174.4152,113.5639,-65.0376,11.5739
127,-174.7829,113.9709,-63.9137,13.0911
128,-175.1354,114.4084,-62.7763,14.6266
129,-175.4706,114.8738,-61.6308,16.1701
130,-175.786,115.365,-60.4837,17.7137
131,-176.079,115.8793,-59.3419,19.2508
132,-176.3467,116.4144,-58.2141,20.7758
133,-176.5866,116.9677,-57.1102,22.2837
134,-176.7956,117.537,-56.0427,23.7699
135,-176.9716,118.1199,-55.0261,25.2302
136,-177.1125,118.7139,-54.0788,26.6607
137,-177.2173,119.3169,-53.2232,28.0578
138,-177.2867,119.9267,-52.4872,29.4181
139,-177.3219,120.5412,-51.9066,30.7382
140,177.3255,121.1581,-51.5257,32.0149
141,177.3009,121.7756,-51.4018,33.2453
142,177.2523,122.3918,-51.6077,34.4266
143,177.183,123.0047,-52.236,35.5558
144,177.0969,123.6127,-53.4052,36.6305
145,176.9964,124.214,-55.2639,37.6478
146,176.8838,124.8071,-57.9951,38.6055
147,176.7607,125.3904,-61.8122,39.5011
148,176.6277,125.9624,-66.9388,40.3323
149,176.485,126.5221,-73.5545,41.0967
150,176.3323,127.0679,-81.6857,41.7923
151,176.0944,127.5022,-91.2578,42.279
152,175.6824,127.7315,-101.6914,42.4289
153,175.0771,127.762,-111.9699,42.2581
154,174.2678,127.6006,-121.2937,41.7822
155,173.253,127.2547,-129.2981,41.0168
156,172.0378,126.7317,-135.9856,39.9779
157,170.63,126.0396,-141.5448,38.6809
158,169.0391,125.1864,-146.2122,37.1421
159,167.2742,124.1799,-150.2024,35.3777
160,165.3446,123.0281,-153.6847,33.4047
161,163.2591,121.7387,-156.7783,31.241
162,161.0264,120.3196,-159.5531,28.9063
163,158.6554,118.7782,-162.0292,26.4225
164,156.1548,117.122,-164.1724,23.8163
165,153.5334,115.3581,-165.8873,21.1215
166,150.8002,113.4937,167.0204,18.3857
167,147.9643,111.5357,167.4027,15.6823
168,145.0351,109.4913,166.941,13.1358
169,142.0222,107.3672,165.6849,10.9702
170,138.9354,105.1706,163.7881,9.5649
171,135.7846,102.9085,161.4213,-9.372
172,132.58,100.5882,158.7224,-10.5314
173,129.332,98.2171,155.7903,-12.7239
174,126.0514,95.8029,152.6942,-15.5443
175,122.7488,93.3537,149.4834,-18.7235
176,119.4352,90.8776,146.1948,-22.1097
177,116.122,88.3836,142.8576,-25.6166
178,112.8203,85.8805,139.4958,-29.1905
179,109.5416,83.3778,136.1301,-32.7958
180,106.2975,80.8852,132.7793,-36.4064
181,103.0998,78.4128,129.4606,-40.0022
182,99.9602,75.9712,126.19,-43.5668
183,96.8907,73.571,122.9831,-47.0864
184,93.9033,71.2233,119.8546,-50.5494
185,91.01,68.9395,116.8191,-53.9462
186,88.2229,66.7311,113.8908,-57.2685
187,85.5542,64.6096,111.0836,-60.5096
188,83.0161,62.587,108.4111,-63.6644
189,80.6208,60.6752,105.887,-66.7287
190,78.3804,58.8862,103.5246,-69.6991
191,76.3071,57.2319,101.3373,-72.5716
192,74.4133,55.7247,99.3383,-75.3415
193,72.711,54.3761,97.5405,-77.9996
194,71.2123,53.1985,95.9572,-80.5331
195,69.9294,52.2034,94.6011,-82.9234
