Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,3.1982,2.4747,0.2591,2.9832
2,3.1943,2.4719,0.2566,2.9855
3,3.1828,2.4635,0.2494,2.9925
4,3.164,2.45,0.2384,3.004
5,3.1382,2.4315,0.2249,3.0199
6,3.1058,2.4084,0.2114,3.0401
7,3.0671,2.3812,0.2009,3.0644
8,3.0224,2.3501,0.1977,3.0929
9,2.9721,2.3156,0.206,3.1254
10,2.9164,2.2781,0.2282,3.162
11,2.8557,2.2382,0.2639,3.2025
12,2.7903,2.1962,0.3113,3.2468
13,2.7205,2.1527,0.3679,3.2948
14,2.6467,2.1083,0.4321,3.3465
15,2.5692,2.0634,0.5024,3.4016
16,2.4883,2.0187,0.5777,3.4601
17,2.4043,1.9747,0.6574,3.5218
18,2.3176,1.932,0.7407,3.5864
19,2.2285,1.8914,0.8271,3.6538
20,2.1373,1.8533,0.9161,3.7238
21,2.0444,1.8184,1.0073,3.796
22,1.95,1.7872,1.1003,3.8703
23,1.8545,1.7603,1.1946,3.9464
24,1.7583,1.7381,1.29,4.024
25,1.6616,1.7209,1.386,4.1028
26,1.5648,1.7091,1.4823,4.1825
27,1.4682,1.7028,1.5786,4.2627
28,1.3722,1.702,1.6745,4.3433
29,1.2771,1.7067,1.7697,4.4238
30,1.1832,1.7165,1.8638,4.504
31,1.0909,1.7312,1.9565,4.5834
32,1.0006,1.7503,2.0475,4.6619
33,0.9126,1.7733,2.1364,4.739
34,0.8272,1.7997,2.2229,4.8144
35,0.745,1.8288,2.3068,4.8877
36,0.6662,1.8601,2.3875,4.9587
37,0.5913,1.8928,2.465,5.0271
38,0.5209,1.9264,2.5387,5.0923
39,0.4554,1.9601,2.6084,5.1543
40,0.3954,1.9935,2.6737,5.2125
41,0.3417,2.0259,2.7344,5.2667
42,0.295,2.0567,2.7901,5.3166
43,0.2561,2.0856,2.8404,5.3618
44,0.2257,2.1118,2.8851,5.402
45,0.2039,2.1351,2.9238,5.4368
46,0.1903,2.1549,2.9562,5.466
47,0.1834,2.1709,2.982,5.4893
48,0.1811,2.1828,3.0009,5.5063
49,0.1816,2.1901,3.0124,5.5168
50,0.1833,2.1927,3.0164,5.5203
51,0.1874,2.1905,3.0154,5.5185
52,0.195,2.184,3.0124,5.5131
53,0.206,2.1731,3.0073,5.5041
54,0.2205,2.1582,3.0004,5.4918
55,0.2384,2.1394,2.9917,5.4763
56,0.2598,2.1169,2.9813,5.4577
57,0.2846,2.0909,2.9694,5.4361
58,0.3127,2.0614,2.9561,5.4118
59,0.344,2.0288,2.9415,5.3849
60,0.3785,1.9932,2.9257,5.3554
61,0.416,1.9547,2.909,5.3237
62,0.4562,1.9135,2.8915,5.2897
63,0.4991,1.8699,2.8732,5.2537
64,0.5445,1.8239,2.8544,5.2158
65,0.5921,1.7758,2.8351,5.1761
66,0.6419,1.7258,2.8156,5.1349
67,0.6935,1.674,2.796,5.0921
68,0.7468,1.6205,2.7763,5.0481
69,0.8017,1.5656,2.7568,5.0029
70,0.8578,1.5095,2.7374,4.9566
71,0.9152,1.4523,2.7184,4.9094
72,0.9735,1.3941,2.6998,4.8614
73,1.0326,1.3353,2.6817,4.8128
74,1.0924,1.2758,2.6642,4.7636
75,1.1525,1.216,2.6473,4.7141
76,1.2129,1.1559,2.631,4.6642
77,1.2734,1.0958,2.6154,4.6142
78,1.3338,1.0357,2.6004,4.5641
79,1.3939,0.976,2.5862,4.5141
80,1.4535,0.9166,2.5726,4.4641
81,1.5125,0.8579,2.5596,4.4144
