Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
103,-131.5277,165.33,-21.7606,17.2357,36.9656
104,-130.9411,167.6267,-19.3351,20.2677,40.0839
105,-130.3934,169.844,-16.99,23.2326,43.1297
106,-129.887,171.9732,-14.7337,26.1204,46.0924
107,-129.4251,174.0049,-12.5746,28.9209,48.9612
108,-129.012,175.9293,-10.5208,31.6238,51.7253
109,-128.653,177.7321,-8.5804,34.2187,54.3737
110,-128.3544,179.3482,-6.7611,36.695,56.8954
111,-128.1231,-178.9289,-5.0708,39.0418,59.2793
112,-127.9669,-177.5448,-3.5169,41.2483,61.5141
113,-127.8941,-176.2857,-2.1076,43.3033,63.5886
114,-127.9136,-175.1813,-0.857,45.1954,65.4913
115,-128.0346,-174.244,0.3356,46.913,67.2108
116,-128.2666,-173.4838,1.2371,48.4445,68.7357
117,-128.6196,-172.9105,2.014,49.7779,70.0543
118,-129.1033,-172.5331,2.6247,50.9012,71.155
119,-129.7279,-172.361,3.0635,51.8022,72.0263
120,-130.5033,-172.4035,3.3267,52.4684,72.6564
121,-131.3617,-172.5907,3.4911,52.9675,73.1137
122,-132.2301,-172.8451,3.6398,53.3764,73.4761
123,-133.1109,-173.1641,3.7796,53.697,73.7461
124,-134.0061,-173.5456,3.9173,53.9311,73.9263
125,-134.917,-173.987,4.0592,54.0808,74.0197
126,-135.8448,-174.4857,4.2115,54.148,74.029
127,-136.7902,-175.0391,4.3796,54.1351,73.9571
128,-137.7536,-175.6448,4.5677,54.0444,73.8069
129,-138.7351,-176.2999,4.7792,53.8783,73.5814
130,-139.7347,-177.0019,5.0159,53.6394,73.2837
131,-140.7519,-177.7472,5.2776,53.3302,72.9169
132,-141.7865,-178.5312,5.5622,52.9534,72.484
133,-142.8376,-179.3394,5.8652,52.5118,71.9883
134,-143.9045,179.6728,6.1799,52.0083,71.4328
135,-144.9862,178.8367,6.4971,51.4457,70.8208
136,-146.0816,177.9156,6.8053,50.827,70.1554
137,-147.1896,176.9605,7.0911,50.1552,69.4399
138,-148.3089,175.9781,7.3395,49.4334,68.6776
139,-149.4383,174.9722,7.5345,48.6645,67.8716
140,-150.5762,173.9462,7.6595,47.8518,67.0253
141,-151.7212,172.9029,7.6982,46.9984,66.1418
142,-152.8719,171.8454,7.6352,46.1074,65.2246
143,-154.0266,170.7767,7.4554,45.182,64.2767
144,-155.1837,169.6995,7.1458,44.2254,63.3015
145,-156.3418,168.617,6.6945,43.2409,62.3022
146,-157.499,167.532,6.0911,42.2316,61.2822
147,-158.6538,166.4475,5.3268,41.2009,60.2447
148,-159.8044,165.3663,4.3956,40.1518,59.193
149,-160.9492,164.2916,3.298,39.0877,58.1303
150,-162.0865,163.2261,2.0707,38.0118,57.06
151,-163.2146,162.1729,1.0818,36.9274,55.9853
152,-164.3319,161.1348,-1.9079,35.8377,54.9095
153,-165.4367,160.1147,-3.8084,34.7459,53.8359
154,-166.5273,159.1156,-6.1306,33.6553,52.7678
155,-167.602,158.1401,-8.8457,32.5693,51.7086
156,-168.6592,157.1911,-12.0122,31.491,50.6614
157,-169.6972,156.2714,-15.7312,30.4237,49.6298
158,-170.7146,155.3837,-20.1503,29.3708,48.6169
159,-171.7095,154.5305,-25.4788,28.3356,47.6262
160,-172.6803,153.7144,-32.0046,27.3213,46.6612
161,-173.5932,152.9911,-41.603,26.3185,45.7268
162,-174.4191,152.4086,-56.5113,25.3162,44.8264
163,-175.1646,151.9572,-75.8972,24.3157,43.9604
164,-175.8361,151.6271,-95.4839,23.3183,43.1296
165,-176.4408,151.4077,-111.1543,22.325,42.3346
166,-176.9853,151.2886,-122.3207,21.3365,41.5763
167,-177.4764,151.2592,-130.1563,20.3537,40.8555
168,-177.9201,151.3089,-135.8179,19.3773,40.1733
169,-178.3223,151.4272,-140.0799,18.4079,39.5307
170,-178.6872,151.604,-143.4209,17.4462,38.9288
171,-179.0183,151.8295,-146.1356,16.4928,38.369
172,-179.3136,152.0945,-148.4103,15.5483,37.8525
173,-179.5574,152.3902,-150.3659,14.6133,37.3808
174,-179.6823,152.7087,-152.0838,13.6883,36.9553
175,179.5996,153.0425,-153.6195,12.7742,36.5777
176,179.4036,153.3851,-155.0127,11.8718,36.2496
177,179.179,153.7305,-156.2918,10.9821,35.9727
178,178.9472,154.0735,-157.4778,10.1062,35.7488
179,178.7151,154.4098,-158.5864,9.2456,35.5797
180,178.4827,154.7353,-159.6299,8.402,35.4672
181,178.2512,155.047,-160.6175,7.5778,35.4131
182,178.0199,155.3422,-161.5567,6.7756,35.4192
183,177.7881,155.6188,-162.4535,5.9988,35.4871
184,177.5565,155.875,-163.3128,5.2522,35.6183
185,177.3242,156.1096,-164.1387,4.5411,35.8141
186,177.0913,156.3215,-164.9345,3.873,36.0753
187,176.8576,156.5101,-165.7034,3.2574,36.4026
188,176.6229,156.6749,-166.4479,2.7064,36.7961
189,176.3872,156.8155,-167.1706,2.2362,37.255
190,176.1501,156.9317,-167.8735,1.8649,37.7782
191,175.9117,157.0234,-168.5587,1.6059,38.3624
192,175.6701,157.0908,-169.2272,1.4536,38.9986
193,175.4232,157.1338,-169.8805,1.3902,39.6766
194,175.1689,157.1518,-170.5202,1.3925,40.3861
195,174.9041,157.1438,-171.1487,1.4407,41.1165
196,174.6262,157.1084,-171.7685,1.5219,41.8574
197,174.332,157.0441,-172.3823,1.6283,42.5984
198,174.0182,156.9489,-172.9929,1.7552,43.3292
199,173.6816,156.8207,-173.6036,1.8978,44.0397
200,173.3185,156.6571,-174.2173,2.051,44.7204
201,172.9254,156.4555,-174.8377,2.2094,45.3618
202,172.4985,156.2133,-175.468,2.3741,45.9549
203,172.0339,155.9274,-176.112,2.5623,46.4913
204,171.5278,155.5949,-176.7734,-2.829,46.9629
205,170.9761,155.2127,-177.4557,-3.3039,47.3622
206,170.3747,154.7774,-178.1634,-4.2232,47.6823
207,169.7195,154.2856,-178.8999,-5.9528,47.917
208,169.0061,153.734,-179.6664,-9.0693,48.0605
209,168.2304,153.1188,179.515,-14.6869,48.1079
210,167.3877,152.4365,178.6653,-25.3881,48.055
211,166.4783,151.6876,177.7732,-47.2716,47.8923
212,165.5078,150.8775,176.8455,-84.1806,47.6211
213,164.4799,150.0101,175.882,-115.6545,47.2542
214,163.3986,149.0891,174.8832,-132.2938,46.8045
215,162.2679,148.1185,173.8498,-141.1941,46.2852
216,161.0921,147.1024,172.7832,-146.6361,45.7097
217,159.8754,146.045,171.6848,-150.3947,45.0917
218,158.6223,144.9504,170.5568,-153.2562,44.4456
219,157.3372,143.823,169.4014,-155.6062,43.7866
220,156.0247,142.6673,168.2214,-157.6501,43.1305
221,154.6894,141.4876,167.0198,-159.5043,42.4944
222,153.3363,140.2886,165.7999,-161.2378,41.8968
223,151.9701,139.0747,164.5655,-162.892,41.3577
224,150.5959,137.8508,163.3203,-164.4921,40.8991
225,149.2186,136.6215,162.0687,-166.0531,40.5454
226,147.8434,135.3915,160.8149,-167.5829,40.3237
227,146.4754,134.1659,159.5636,-169.0853,40.2644
228,145.12,132.9496,158.3196,-170.5609,40.402
229,143.7825,131.7474,157.0879,-172.0078,40.7746
230,142.4683,130.5645,155.8737,-173.422,41.425
231,141.1829,129.406,154.6824,-174.798,42.4001
232,139.9317,128.2769,153.5192,-176.1264,43.75
233,138.7203,127.1826,152.3899,-177.3895,45.5253
234,137.5544,126.1282,151.3,-178.5292,47.7726
235,136.4396,125.119,150.2552,179.1773,50.5271
236,135.3815,124.1602,149.2612,178.6051,53.8007
237,134.3858,123.2573,148.324,177.6502,57.5687
238,133.4582,122.4154,147.4493,176.694,61.7561
