Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
1,0.2912,3.6624,6.0837,13.0759,15.3317
2,0.2911,3.6627,6.0845,13.0767,15.3324
3,0.2907,3.6634,6.0865,13.0787,15.3344
4,0.2901,3.6646,6.0899,13.0821,15.3375
5,0.2892,3.6661,6.0946,13.0867,15.3418
6,0.288,3.6679,6.1005,13.0925,15.3471
7,0.2865,3.6698,6.1076,13.0994,15.3534
8,0.2847,3.6717,6.1157,13.1073,15.3606
9,0.2826,3.6737,6.125,13.1162,15.3686
10,0.2803,3.6755,6.1352,13.126,15.3773
11,0.2778,3.6772,6.1464,13.1366,15.3867
12,0.2752,3.6786,6.1585,13.148,15.3966
13,0.2724,3.6797,6.1715,13.1601,15.407
14,0.2696,3.6803,6.1852,13.1728,15.4178
15,0.2669,3.6804,6.1997,13.1861,15.429
16,0.2642,3.6799,6.2149,13.1999,15.4404
17,0.2617,3.6788,6.2307,13.2141,15.4519
18,0.2596,3.677,6.2472,13.2287,15.4636
19,0.2579,3.6743,6.2642,13.2437,15.4752
20,0.2568,3.6707,6.2816,13.2589,15.4868
21,0.2564,3.6661,6.2996,13.2742,15.4983
22,0.257,3.6605,6.318,13.2897,15.5095
23,0.2587,3.6537,6.3367,13.3053,15.5205
24,0.2617,3.6458,6.3558,13.3209,15.5311
25,0.2662,3.6365,6.3751,13.3364,15.5412
26,0.2725,3.6259,6.3947,13.3518,15.5509
27,0.2807,3.6138,6.4145,13.367,15.5599
28,0.291,3.6003,6.4345,13.382,15.5683
29,0.3036,3.5852,6.4546,13.3968,15.576
30,0.3185,3.5684,6.4749,13.4111,15.5829
31,0.3335,3.5472,6.4928,13.4223,15.5859
32,0.3467,3.5191,6.5059,13.4276,15.582
33,0.3597,3.4844,6.5145,13.4273,15.5717
34,0.3741,3.4435,6.519,13.4217,15.5553
35,0.3915,3.3965,6.5196,13.411,15.533
36,0.4133,3.3438,6.5167,13.3956,15.5052
37,0.4407,3.2857,6.5105,13.3758,15.4721
38,0.4745,3.2225,6.5013,13.3517,15.4342
39,0.515,3.1545,6.4895,13.3239,15.3917
40,0.5624,3.0821,6.4753,13.2924,15.345
41,0.6163,3.0055,6.4591,13.2576,15.2943
42,0.6764,2.9252,6.4411,13.2198,15.24
43,0.7421,2.8413,6.4215,13.1792,15.1823
44,0.8129,2.7543,6.4008,13.1362,15.1217
45,0.8883,2.6645,6.3792,13.091,15.0583
46,0.9676,2.5721,6.3568,13.0438,14.9925
47,1.0504,2.4776,6.334,12.9949,14.9246
48,1.1361,2.3812,6.311,12.9447,14.8549
49,1.2244,2.2834,6.288,12.8932,14.7836
50,1.3146,2.1843,6.2652,12.8408,14.7112
51,1.4065,2.0844,6.2428,12.7878,14.6378
52,1.4995,1.984,6.221,12.7343,14.5637
53,1.5933,1.8835,6.1998,12.6805,14.4893
54,1.6875,1.7831,6.1795,12.6268,14.4148
55,1.7817,1.6832,6.1601,12.5733,14.3405
56,1.8754,1.5841,6.1417,12.5202,14.2666
57,1.9683,1.4862,6.1244,12.4677,14.1935
58,2.0601,1.3899,6.1083,12.416,14.1214
59,2.1504,1.2954,6.0932,12.3652,14.0505
60,2.2387,1.2032,6.0794,12.3157,13.9811
61,2.3249,1.1135,6.0667,12.2675,13.9134
62,2.4084,1.0267,6.055,12.2208,13.8478
63,2.489,0.9432,6.0445,12.1758,13.7845
64,2.5662,0.8633,6.0349,12.1325,13.7236
65,2.6398,0.7874,6.0262,12.0913,13.6655
66,2.7093,0.7159,6.0183,12.0522,13.6104
67,2.7745,0.6491,6.0112,12.0153,13.5585
68,2.835,0.5874,6.0047,11.9808,13.5101
69,2.8905,0.5312,5.9987,11.9489,13.4654
