Frame,Pillar1,Pillar2,Pillar3
1,1.2216,0.7163,0.5347
2,1.2218,0.7177,0.5332
3,1.2223,0.7217,0.5291
4,1.223,0.7281,0.5224
5,1.2241,0.7368,0.5134
6,1.2256,0.7476,0.5022
7,1.2274,0.7603,0.4892
8,1.2297,0.7746,0.4744
9,1.2323,0.7904,0.4581
10,1.2355,0.8075,0.4406
11,1.2391,0.8258,0.4219
12,1.2431,0.845,0.4024
13,1.2477,0.8648,0.3822
14,1.2526,0.8853,0.3615
15,1.258,0.906,0.3406
16,1.2638,0.9269,0.3196
17,1.2699,0.9477,0.2989
18,1.2762,0.9682,0.2785
19,1.2826,0.9882,0.2586
20,1.2891,1.0076,0.2396
21,1.2956,1.0261,0.2217
22,1.3019,1.0435,0.2049
23,1.3079,1.0596,0.1896
24,1.3135,1.0742,0.1758
25,1.3186,1.0871,0.1639
26,1.323,1.0982,0.1539
27,1.3267,1.1071,0.1459
28,1.3294,1.1137,0.1401
29,1.3311,1.1179,0.1366
30,1.3317,1.1193,0.1355
31,1.3311,1.118,0.1368
32,1.3293,1.1141,0.1403
33,1.3264,1.1078,0.1461
34,1.3224,1.0992,0.154
35,1.3175,1.0885,0.1639
36,1.3117,1.0757,0.1759
37,1.3052,1.061,0.1898
38,1.298,1.0445,0.2056
39,1.2903,1.0264,0.223
40,1.2822,1.0068,0.242
41,1.2738,0.9858,0.2625
42,1.2651,0.9636,0.2844
43,1.2563,0.9403,0.3074
44,1.2476,0.916,0.3315
45,1.2389,0.8909,0.3565
46,1.2304,0.865,0.3822
47,1.2222,0.8386,0.4086
48,1.2143,0.8117,0.4355
49,1.2068,0.7846,0.4628
50,1.1997,0.7572,0.4903
51,1.1932,0.7298,0.5179
52,1.1871,0.7025,0.5454
53,1.1816,0.6754,0.5728
54,1.1767,0.6486,0.5998
55,1.1723,0.6224,0.6264
56,1.1684,0.5967,0.6525
57,1.1649,0.5717,0.6778
58,1.162,0.5476,0.7022
59,1.1594,0.5245,0.7257
60,1.1571,0.5025,0.7481
61,1.1551,0.4816,0.7692
62,1.1533,0.462,0.7892
63,1.1516,0.4434,0.8079
64,1.1501,0.426,0.8256
65,1.1486,0.4096,0.8422
66,1.1472,0.3942,0.8578
67,1.1459,0.3798,0.8723
68,1.1446,0.3663,0.886
69,1.1433,0.3536,0.8987
70,1.142,0.3418,0.9106
71,1.1407,0.3308,0.9217
72,1.1394,0.3205,0.932
73,1.1381,0.311,0.9415
74,1.1369,0.3021,0.9504
75,1.1357,0.2939,0.9587
76,1.1344,0.2862,0.9663
77,1.1333,0.2791,0.9734
78,1.1322,0.2726,0.98
79,1.1312,0.2665,0.9861
80,1.1302,0.2608,0.9918
81,1.1294,0.2556,0.9971
82,1.1287,0.2507,1.0021
83,1.1282,0.2461,1.0067
84,1.1278,0.2418,1.0111
85,1.1276,0.2378,1.0153
86,1.1277,0.2339,1.0193
87,1.1279,0.2302,1.0231
88,1.1285,0.2267,1.0269
89,1.1293,0.2232,1.0306
90,1.1305,0.2198,1.0343
91,1.132,0.2164,1.0381
92,1.1339,0.213,1.0419
93,1.1362,0.2096,1.0459
94,1.1389,0.2061,1.05
95,1.1421,0.2025,1.0543
96,1.1458,0.1989,1.0589
97,1.15,0.1952,1.0638
98,1.1547,0.1914,1.0691
99,1.16,0.1875,1.0747
100,1.1659,0.1837,1.0809
101,1.1724,0.1799,1.0874
102,1.1796,0.1763,1.0945
103,1.1872,0.1729,1.1021
104,1.1952,0.1699,1.11
105,1.2037,0.1673,1.1184
106,1.2124,0.1653,1.1271
107,1.2214,0.1639,1.1362
108,1.2306,0.1631,1.1456
109,1.2399,0.1631,1.1553
110,1.2493,0.1638,1.1652
111,1.2586,0.1653,1.1754
112,1.2678,0.1673,1.1857
113,1.2769,0.17,1.1962
114,1.2858,0.1731,1.2067
115,1.2943,0.1767,1.2174
116,1.3026,0.1806,1.228
117,1.3103,0.1846,1.2387
118,1.3176,0.1887,1.2493
119,1.3243,0.1928,1.2597
120,1.3304,0.1967,1.2701
121,1.3357,0.2004,1.2802
122,1.3403,0.2037,1.2902
123,1.3441,0.2066,1.2999
124,1.3469,0.209,1.3093
125,1.3488,0.2108,1.3184
126,1.3496,0.212,1.3271
127,1.3493,0.2124,1.3354
128,1.3478,0.2122,1.3434
129,1.345,0.2111,1.3509
130,1.341,0.2093,1.358
131,1.3346,0.2065,1.366
132,1.3252,0.203,1.3762
133,1.3131,0.2003,1.3886
134,1.2986,0.2,1.403
135,1.2821,0.2037,1.4194
136,1.264,0.2127,1.4379
137,1.2447,0.2278,1.4583
138,1.2245,0.2492,1.4806
139,1.2038,0.2762,1.5046
140,1.183,0.3081,1.5302
141,1.1623,0.3441,1.5573
142,1.1422,0.3832,1.5856
143,1.1228,0.4248,1.615
144,1.1045,0.468,1.6451
145,1.0873,0.5123,1.6758
146,1.0715,0.5571,1.7066
147,1.057,0.6019,1.7373
148,1.0439,0.6463,1.7676
149,1.032,0.6897,1.7971
150,1.0213,0.7318,1.8254
151,1.0115,0.7721,1.8521
152,1.0023,0.8102,1.8769
153,0.9934,0.8458,1.8995
154,0.9845,0.8784,1.9193
155,0.9751,0.9078,1.936
156,0.9648,0.9334,1.9493
157,0.9532,0.955,1.9586
158,0.9399,0.9723,1.9637
159,0.9245,0.9849,1.9641
160,0.9065,0.9925,1.9595
161,0.8869,0.9971,1.9516
162,0.8666,1.001,1.9427
163,0.8456,1.0043,1.9328
164,0.8242,1.0071,1.9221
165,0.8022,1.0093,1.9105
166,0.7797,1.0113,1.8982
167,0.7569,1.0129,1.8852
168,0.7336,1.0143,1.8716
169,0.7101,1.0155,1.8576
170,0.6864,1.0166,1.8431
171,0.6624,1.0178,1.8282
172,0.6383,1.0189,1.813
173,0.6142,1.0202,1.7977
174,0.5901,1.0216,1.7822
175,0.566,1.0232,1.7666
176,0.5421,1.025,1.751
177,0.5184,1.027,1.7356
178,0.4949,1.0293,1.7203
179,0.4718,1.0319,1.7052
180,0.4492,1.0348,1.6904
181,0.427,1.0379,1.6759
182,0.4054,1.0414,1.6619
183,0.3844,1.0452,1.6484
184,0.3641,1.0493,1.6354
185,0.3446,1.0536,1.6231
186,0.3259,1.0582,1.6114
187,0.3082,1.0631,1.6005
188,0.2914,1.0681,1.5904
189,0.2758,1.0734,1.5811
190,0.2612,1.0788,1.5728
191,0.2479,1.0843,1.5655
192,0.2357,1.0898,1.559
193,0.2246,1.0953,1.5533
194,0.2146,1.1007,1.5484
195,0.2057,1.1059,1.544
196,0.1977,1.1107,1.5402
197,0.1906,1.1152,1.5369
198,0.1844,1.1193,1.5338
199,0.179,1.1229,1.5311
200,0.1742,1.1259,1.5286
201,0.1701,1.1284,1.5261
202,0.1665,1.1301,1.5237
203,0.1634,1.1312,1.5213
204,0.1608,1.1315,1.5187
205,0.1585,1.131,1.5159
206,0.1565,1.1297,1.5128
207,0.1555,1.1266,1.5093
