Frame,Pillar1,Pillar2,Pillar3
1,-94.1099,-160.7566,9.2054
2,-94.1778,-160.7914,9.2248
3,-94.3772,-160.8938,9.2803
4,-94.7015,-161.0601,9.3686
5,-95.1438,-161.2858,9.4869
6,-95.6972,-161.5658,9.6338
7,-96.3545,-161.8952,9.8085
8,-97.1087,-162.2692,10.0112
9,-97.9523,-162.6835,10.243
10,-98.8782,-163.1344,10.5061
11,-99.8788,-163.6192,10.8036
12,-100.947,-164.1357,11.1399
13,-102.0756,-164.6824,11.5206
14,-103.2575,-165.2587,11.9529
15,-104.4859,-165.8645,12.4451
16,-105.7544,-166.5003,13.007
17,-107.0568,-167.1672,13.6495
18,-108.3871,-167.8664,14.3842
19,-109.7401,-168.5994,15.2223
20,-111.1106,-169.3681,16.1737
21,-112.4941,-170.174,17.244
22,-113.8862,-171.0188,18.4317
23,-115.283,-171.9037,19.7229
24,-116.6807,-172.8287,21.0863
25,-118.076,-173.7924,22.4662
26,-119.4653,-174.7896,23.7783
27,-120.8452,-175.8063,24.9102
28,-122.2122,-176.805,25.73
29,-123.5625,-177.6742,26.1052
30,-124.8921,-178.0951,25.9323
31,-126.6336,177.4212,25.0526
32,-129.1815,175.1951,23.5762
33,-132.4737,171.8663,22.0171
34,-136.4475,167.6903,-21.1289
35,-141.0399,162.7873,-21.7471
36,-146.1872,157.2422,-24.3591
37,-151.8252,151.1292,-28.8505
38,-157.8877,144.5183,-34.78
39,-164.304,137.478,-41.7175
40,-170.98,130.0761,-49.3476
41,-177.4546,122.3801,-57.4522
42,174.4189,114.4571,-65.8764
43,167.2941,106.3745,-74.5026
44,160.0024,98.1995,-83.2352
45,152.6964,89.9995,-91.9917
46,145.4524,81.8422,-100.697
47,138.3362,73.7952,-109.2803
48,131.4103,65.9267,-117.6732
49,124.7362,58.3053,-125.8086
50,118.3743,51.0003,-133.6194
51,112.3845,44.0822,-141.0381
52,106.8263,37.623,-147.9959
53,101.7588,31.6973,-154.421
54,97.2408,26.3829,-160.2364
55,93.3311,21.7616,-165.3541
56,90.0881,17.9176,-169.6624
57,87.5704,14.9286,-172.9984
58,85.8364,12.8438,-175.1309
59,84.9449,11.654,-175.9833
60,84.9546,11.2912,176.1125
61,85.42,11.3293,176.1116
62,85.8573,11.3923,176.0395
63,86.2674,11.4779,175.9169
64,86.6515,11.5839,175.7617
65,87.0106,11.7084,175.5878
66,87.3462,11.8495,175.4059
67,87.6594,12.0057,175.2236
68,87.9515,12.1755,175.0461
69,88.2239,12.3578,174.877
70,88.4777,12.5515,174.7183
71,88.7144,12.7559,174.5714
72,88.9352,12.9701,174.437
73,89.1414,13.1936,174.3151
74,89.3342,13.4258,174.2054
75,89.5148,13.666,174.1075
76,89.6845,13.9136,174.0205
77,89.8445,14.1679,173.9434
78,89.996,14.428,173.8753
79,90.1403,14.693,173.815
80,90.2784,14.9618,173.7613
81,90.4115,15.2336,173.7126
82,90.541,15.5072,173.6677
83,90.6678,15.7818,173.6253
84,90.7932,16.0569,173.5838
85,90.9184,16.3325,173.5417
86,91.0445,16.6092,173.4976
87,91.1727,16.8883,173.4498
88,91.304,17.1724,173.3968
89,91.4397,17.4655,173.3371
90,91.5809,17.7733,173.2689
91,91.7287,18.1036,173.1909
92,91.8841,18.4668,173.1014
93,92.0481,18.8762,172.9987
94,92.2219,19.3487,172.8813
95,92.4063,19.9051,172.7476
96,92.6023,20.5705,172.5962
97,92.8107,21.3746,172.4254
98,93.0324,22.3516,172.2337
99,93.2679,23.5398,172.0199
100,93.518,24.9813,171.7827
101,93.8586,26.7595,171.5935
102,94.3572,28.9523,171.5215
103,95.0023,31.5827,171.5613
104,95.7822,34.6547,171.7071
105,96.6855,38.1526,171.9526
106,97.7005,42.043,172.2907
107,98.8161,46.2771,172.714
108,100.0208,50.7946,173.2143
109,101.3036,55.5275,173.7819
110,102.6533,60.4051,174.406
111,104.059,65.358,175.0722
112,105.5097,70.3223,175.7613
113,106.9947,75.2428,176.443
114,108.5031,80.0741,177.0651
115,110.0245,84.7818,177.534
116,111.5483,89.3412,-177.712
117,113.0639,93.7371,-177.5104
118,114.5611,97.9609,-176.9937
119,116.0295,102.0104,-176.2913
120,117.459,105.8874,-175.4961
121,118.8393,109.5968,-174.6611
122,120.1606,113.1458,-173.8177
123,121.4127,116.5433,-172.9866
124,122.5859,119.7994,-172.1834
125,123.6704,122.9253,-171.4207
126,124.6565,125.9334,-170.7095
127,125.5345,128.8372,-170.06
128,126.2951,131.6516,-169.4817
129,126.929,134.3928,-168.9836
130,127.4268,137.0782,-168.5747
131,127.5214,139.9591,-168.5308
132,126.9813,143.3066,-169.1006
133,125.8526,147.1217,-170.249
134,124.1824,151.2682,-171.9349
135,122.0188,155.4059,-174.0945
136,119.4102,159.052,-176.5427
137,116.405,161.841,177.871
138,113.0512,163.8041,175.3722
139,109.3959,-165.3176,171.5366
140,105.4849,-166.7517,167.1906
141,101.362,-168.1907,162.4716
142,97.0691,169.3255,157.4429
143,92.6456,169.4848,152.1537
144,88.1281,168.0689,146.6496
145,83.5508,165.1231,140.9762
146,78.9452,161.1018,135.1794
147,74.3407,156.4118,129.3065
148,69.7652,151.3239,123.4054
149,65.2454,146.0199,117.5253
150,60.8075,140.633,111.7158
151,56.4784,135.2697,106.0277
152,52.2854,130.021,100.5121
153,48.2573,124.9687,95.2205
154,44.4244,120.1885,90.2049
155,40.8182,115.7527,85.5177
156,37.4709,111.7311,81.211
157,34.4153,108.1922,77.3373
158,31.683,105.2046,73.9489
159,29.3035,102.8371,71.0979
160,27.3021,101.1598,68.8364
161,25.5675,99.9437,66.97
162,23.9726,98.9084,65.2664
163,22.5154,98.0482,63.7208
164,21.1937,97.3574,62.328
165,20.0052,96.8296,61.083
