Frame,Pillar1,Pillar2,Pillar3
1,-10.0612,-51.3031,62.0005
2,-10.0704,-51.4173,62.0069
3,-10.0978,-51.7594,62.0259
4,-10.1431,-52.3331,62.0572
5,-10.2057,-53.1474,62.1007
6,-10.2854,-54.2174,62.1563
7,-10.3818,-55.5643,62.2237
8,-10.4944,-57.2162,62.3029
9,-10.623,-59.2092,62.3937
10,-10.7671,-61.5882,62.4961
11,-10.9263,-64.4073,62.61
12,-11.1002,-67.7296,62.7353
13,-11.2884,-71.625,62.872
14,-11.4906,-76.1648,63.0199
15,-11.7063,-81.4105,63.179
16,-11.935,-87.395,63.3492
17,-12.1764,-94.097,63.5305
18,-12.43,-101.4147,63.7227
19,-12.6954,-109.1519,63.9257
20,-12.9722,-117.0347,64.1394
21,-13.2598,-124.7608,64.3636
22,-13.5579,-132.0621,64.5982
23,-13.866,-138.7508,64.843
24,-14.1836,-144.7313,65.0976
25,-14.5102,-149.9837,65.362
26,-14.8453,-154.5359,65.6357
27,-15.1886,-158.4377,65.9185
28,-15.5393,-161.7411,66.21
29,-15.8972,-164.4883,66.5098
30,-16.2616,-166.706,66.8174
31,-16.632,-168.4049,67.1326
32,-17.0079,-169.5883,67.4546
33,-17.3888,170.2707,67.7831
34,-17.7741,170.4965,68.1174
35,-18.1632,170.3445,68.4569
36,-18.5556,169.9104,68.8011
37,-18.9507,169.2837,69.1493
38,-19.3479,168.5352,69.5008
39,-19.7466,167.7148,69.855
40,-20.1462,166.8559,70.2111
41,-20.546,165.9798,70.5684
42,-20.9455,165.1002,70.9262
43,-21.3439,164.2253,71.2839
44,-21.7404,163.3603,71.6405
45,-22.1346,162.5081,71.9955
46,-22.5255,161.6703,72.3482
47,-22.9125,160.8478,72.6977
48,-23.2947,160.0407,73.0435
49,-23.6714,159.2491,73.3849
50,-24.0417,158.4726,73.7212
51,-24.4048,157.711,74.0519
52,-24.7596,156.9638,74.3764
53,-25.1054,156.2306,74.6942
54,-25.4411,155.5111,75.0046
55,-25.7656,154.8048,75.3074
56,-26.0778,154.1116,75.6021
57,-26.3767,153.4311,75.8882
58,-26.6611,152.763,76.1656
59,-26.9296,152.1072,76.4338
60,-27.181,151.4635,76.6927
61,-27.4139,150.8319,76.942
62,-27.6267,150.2122,77.1816
63,-27.8181,149.6044,77.4114
64,-27.9863,149.0085,77.6313
65,-28.1297,148.4245,77.8414
66,-28.2464,147.8526,78.0415
67,-28.3348,147.2927,78.2318
68,-28.3929,146.7451,78.4123
69,-28.4187,146.2097,78.5832
70,-28.4104,145.6869,78.7446
71,-28.366,145.1767,78.8966
72,-28.2837,144.6794,79.0395
73,-28.1617,144.1951,79.1735
74,-27.9987,143.7242,79.2989
75,-27.7936,143.2668,79.4159
76,-27.5459,142.8231,79.5248
77,-27.256,142.3935,79.6258
78,-26.9254,141.9783,79.7193
79,-26.5569,141.5777,79.8057
80,-26.1555,141.192,79.8852
81,-25.7285,140.8215,79.9581
82,-25.2864,140.4666,80.0249
83,-24.8432,140.1276,80.0857
84,-24.4168,139.8047,80.141
85,-24.0292,139.4985,80.191
86,-23.7055,139.2092,80.2362
87,-23.4728,138.9371,80.2767
88,-23.3572,138.6827,80.3129
89,-23.3802,138.4463,80.3451
90,-23.5551,138.2283,80.3736
91,-23.8826,138.0291,80.3985
92,-24.3496,137.849,80.4202
93,-24.929,137.6885,80.4388
94,-25.5821,137.5481,80.4547
95,26.2633,137.4279,80.4678
96,26.9239,137.3287,80.4784
97,27.5175,137.2506,80.4866
98,28.0029,137.1943,80.4924
99,28.3476,137.16,80.4959
100,28.5298,137.1484,80.4972
101,28.4235,137.2442,80.562
102,27.9481,137.5294,80.7549
103,27.1915,138.0002,81.0736
104,-26.2688,138.6528,81.5159
105,-25.296,139.4833,82.0793
106,-24.3638,140.488,82.761
107,-23.52,141.6631,83.5583
108,-22.7655,143.0048,84.4681
109,-22.0652,144.5093,85.4874
110,-21.3665,146.1728,86.6132
111,-20.6159,147.9914,87.8422
112,-19.7699,149.961,89.1712
113,-18.7995,152.0777,90.5971
114,-17.6914,154.3368,92.1167
115,-16.4475,156.7338,93.7268
