Frame,Pillar1,Pillar2,Pillar3
1,1.2376,0.1244,1.1948
2,1.2372,0.1241,1.1947
3,1.2361,0.1233,1.1944
4,1.2344,0.122,1.1939
5,1.232,0.1201,1.1933
6,1.2288,0.1178,1.1925
7,1.2251,0.115,1.1915
8,1.2207,0.1119,1.1904
9,1.2157,0.1084,1.1892
10,1.2101,0.1046,1.1878
11,1.2039,0.1007,1.1863
12,1.1971,0.0966,1.1847
13,1.1898,0.0926,1.183
14,1.1819,0.0888,1.1813
15,1.1735,0.0853,1.1795
16,1.1645,0.0824,1.1776
17,1.1551,0.0803,1.1757
18,1.1452,0.0792,1.1738
19,1.1348,0.0794,1.1718
20,1.1239,0.0811,1.1699
21,1.1126,0.0844,1.168
22,1.1009,0.0891,1.1662
23,1.0887,0.0954,1.1644
24,1.0762,0.1029,1.1627
25,1.0632,0.1116,1.161
26,1.0499,0.1214,1.1595
27,1.0362,0.1321,1.1581
28,1.0222,0.1436,1.1568
29,1.0079,0.1558,1.1556
30,0.9933,0.1686,1.1547
31,0.9783,0.182,1.1538
32,0.9631,0.1959,1.1532
33,0.9476,0.2102,1.1528
34,0.9319,0.2249,1.1526
35,0.9159,0.24,1.1526
36,0.8997,0.2554,1.1528
37,0.8832,0.2711,1.1532
38,0.8666,0.2871,1.1539
39,0.8498,0.3033,1.1549
40,0.8329,0.3198,1.1561
41,0.8158,0.3365,1.1576
42,0.7985,0.3533,1.1593
43,0.7812,0.3703,1.1614
44,0.7637,0.3875,1.1637
45,0.7461,0.4048,1.1662
46,0.7285,0.4222,1.1691
47,0.7108,0.4397,1.1722
48,0.6931,0.4573,1.1756
49,0.6753,0.4749,1.1792
50,0.6575,0.4925,1.1831
51,0.6397,0.5102,1.1873
52,0.622,0.5279,1.1917
53,0.6042,0.5456,1.1964
54,0.5865,0.5633,1.2013
55,0.5689,0.5809,1.2064
56,0.5513,0.5985,1.2118
57,0.5339,0.616,1.2174
58,0.5165,0.6334,1.2231
59,0.4993,0.6507,1.2291
60,0.4821,0.6679,1.2352
61,0.4652,0.685,1.2415
62,0.4484,0.7019,1.2479
63,0.4318,0.7186,1.2545
64,0.4154,0.7352,1.2612
65,0.3992,0.7516,1.268
66,0.3833,0.7678,1.2748
67,0.3676,0.7837,1.2818
68,0.3521,0.7994,1.2887
69,0.337,0.8149,1.2958
70,0.3221,0.8301,1.3028
71,0.3076,0.845,1.3099
