Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,1.5763,0.9265,1.02,0.0951
2,1.5754,0.9266,1.0182,0.0958
3,1.573,0.9269,1.013,0.0979
4,1.5691,0.9275,1.0045,0.1018
5,1.5638,0.9284,0.993,0.1081
6,1.5572,0.9297,0.9786,0.1172
7,1.5495,0.9315,0.9614,0.1294
8,1.5408,0.934,0.9418,0.1448
9,1.5312,0.9372,0.9197,0.1634
10,1.521,0.9412,0.8955,0.185
11,1.5101,0.9463,0.8692,0.2093
12,1.4989,0.9524,0.8412,0.236
13,1.4874,0.9597,0.8115,0.2649
14,1.4758,0.9683,0.7804,0.2957
15,1.4642,0.9782,0.7481,0.3282
16,1.4528,0.9894,0.7147,0.3621
17,1.4417,1.0019,0.6804,0.3973
18,1.431,1.0157,0.6455,0.4334
19,1.4207,1.0307,0.6102,0.4704
20,1.411,1.0469,0.5746,0.508
21,1.402,1.0642,0.5389,0.5459
22,1.3936,1.0823,0.5034,0.5841
23,1.3859,1.1012,0.4684,0.6223
24,1.379,1.1208,0.434,0.6604
25,1.3727,1.1407,0.4004,0.6981
26,1.367,1.1609,0.3681,0.7353
27,1.362,1.1812,0.3371,0.7718
28,1.3575,1.2013,0.3078,0.8073
29,1.3534,1.221,0.2806,0.8419
30,1.3496,1.2402,0.2556,0.8751
31,1.346,1.2586,0.2333,0.907
32,1.3424,1.2759,0.2138,0.9373
33,1.3388,1.2921,0.1973,0.9657
34,1.3348,1.3068,0.1838,0.9923
35,1.3305,1.3199,0.1732,1.0167
36,1.3255,1.3311,0.1651,1.0388
37,1.3198,1.3402,0.159,1.0585
38,1.3131,1.347,0.1542,1.0756
39,1.3053,1.3514,0.1499,1.0899
40,1.2962,1.353,0.1454,1.1012
41,1.2834,1.3487,0.1371,1.1072
42,1.266,1.3377,0.1239,1.1074
43,1.2466,1.3234,0.1086,1.1044
44,1.2281,1.3091,0.0948,1.101
45,1.2129,1.2983,0.0857,1.0996
46,1.2037,1.2943,0.084,1.1025
47,1.199,1.2952,0.087,1.1084
48,1.1954,1.2967,0.0907,1.1139
49,1.1927,1.2986,0.0947,1.1193
50,1.191,1.301,0.099,1.1245
51,1.1902,1.3038,0.1033,1.1294
52,1.1901,1.3069,0.1077,1.1342
53,1.1907,1.3105,0.112,1.1388
54,1.192,1.3143,0.1163,1.1432
55,1.1938,1.3184,0.1205,1.1476
56,1.1962,1.3227,0.1247,1.1518
57,1.199,1.3273,0.129,1.1559
58,1.2022,1.332,0.1332,1.1599
59,1.2057,1.3369,0.1375,1.1639
60,1.2094,1.3419,0.1418,1.1679
61,1.2134,1.347,0.1462,1.1718
62,1.2174,1.3522,0.1507,1.1757
63,1.2215,1.3574,0.1552,1.1797
64,1.2256,1.3626,0.1598,1.1837
65,1.2296,1.3678,0.1644,1.1878
66,1.2334,1.3729,0.1691,1.1919
67,1.2371,1.3779,0.1738,1.1961
68,1.2404,1.3829,0.1785,1.2004
69,1.2435,1.3877,0.1833,1.2048
70,1.2462,1.3923,0.188,1.2093
71,1.2484,1.3967,0.1927,1.214
72,1.25,1.4009,0.1974,1.2188
73,1.2512,1.4048,0.2021,1.2238
74,1.2516,1.4085,0.2068,1.2289
75,1.2514,1.4118,0.2115,1.2343
76,1.2505,1.4149,0.2163,1.2399
77,1.2487,1.4176,0.2211,1.2457
78,1.2461,1.4199,0.2261,1.2518
79,1.2425,1.4219,0.2313,1.2581
80,1.238,1.4234,0.2369,1.2648
81,1.2312,1.4232,0.2417,1.2708
82,1.2211,1.42,0.245,1.2753
83,1.2077,1.4138,0.2474,1.2783
84,1.1913,1.405,0.2493,1.2801
85,1.172,1.3937,0.2514,1.2809
86,1.15,1.3802,0.2544,1.2808
87,1.1254,1.3647,0.259,1.2801
88,1.0985,1.3473,0.2656,1.2789
89,1.0694,1.3283,0.2749,1.2776
90,1.0382,1.308,0.2872,1.2761
91,1.0052,1.2865,0.3027,1.2749
92,0.9706,1.2641,0.3215,1.274
93,0.9345,1.241,0.3433,1.2736
94,0.897,1.2174,0.3681,1.2739
95,0.8584,1.1936,0.3955,1.275
96,0.8189,1.1699,0.4253,1.2771
97,0.7785,1.1463,0.457,1.2803
98,0.7376,1.1233,0.4904,1.2846
99,0.6963,1.1009,0.5252,1.2901
100,0.6547,1.0794,0.561,1.2968
101,0.613,1.059,0.5976,1.3048
102,0.5715,1.0399,0.6347,1.3139
103,0.5303,1.0222,0.6721,1.3242
104,0.4896,1.0061,0.7095,1.3355
105,0.4495,0.9917,0.7468,1.3479
106,0.4103,0.979,0.7835,1.3611
107,0.3722,0.9681,0.8197,1.375
108,0.3353,0.9591,0.8549,1.3896
109,0.2999,0.9519,0.8891,1.4046
110,0.2661,0.9464,0.9221,1.4198
111,0.2342,0.9427,0.9536,1.4352
112,0.2045,0.9405,0.9834,1.4504
113,0.1773,0.9397,1.0115,1.4655
114,0.1528,0.9402,1.0375,1.4801
115,0.1314,0.9419,1.0613,1.4942
116,0.1135,0.9446,1.0827,1.5075
117,0.0997,0.9481,1.1016,1.5199
118,0.09,0.9522,1.1178,1.5313
119,0.0846,0.957,1.1311,1.5415
120,0.083,0.9622,1.1414,1.5504
121,0.0836,0.9672,1.1494,1.558
122,0.0848,0.9716,1.1561,1.5645
123,0.0864,0.9754,1.1615,1.5698
124,0.088,0.9785,1.1658,1.5742
125,0.0896,0.981,1.1691,1.5777
126,0.0909,0.983,1.1716,1.5803
127,0.0919,0.9845,1.1733,1.5822
128,0.0927,0.9856,1.1743,1.5834
129,0.0931,0.9861,1.1749,1.5841
130,0.0933,0.9863,1.1751,1.5843
131,0.0899,0.9817,1.1705,1.5788
132,0.0815,0.969,1.158,1.5636
133,0.0728,0.9496,1.1397,1.5406
134,0.0707,0.9252,1.1176,1.5119
135,0.0809,0.8973,1.0937,1.4793
136,0.1014,0.8672,1.0701,1.4448
137,0.1269,0.8356,1.0492,1.4101
138,0.1547,0.8025,1.0319,1.3756
139,0.1842,0.7679,1.0183,1.3416
140,0.215,0.732,1.0084,1.308
141,0.247,0.6949,1.0021,1.2751
142,0.28,0.6568,0.9994,1.243
143,0.3141,0.618,1.0001,1.2118
144,0.3489,0.5786,1.0041,1.1818
145,0.3844,0.5388,1.0109,1.1531
146,0.4203,0.4991,1.0204,1.1257
