Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,3.1982,2.4747,0.2591,2.9832
2,3.1962,2.4723,0.258,2.9835
3,3.1902,2.4653,0.2549,2.9844
4,3.1804,2.4539,0.2503,2.9858
5,3.167,2.4382,0.2448,2.9878
6,3.1503,2.4184,0.2392,2.9904
7,3.1304,2.3947,0.2347,2.9935
8,3.1075,2.3673,0.2327,2.9973
9,3.0818,2.3364,0.2345,3.0017
10,3.0537,2.3021,0.2415,3.0069
11,3.0232,2.2646,0.2545,3.0127
12,2.9906,2.2242,0.2741,3.0194
13,2.9562,2.181,0.3,3.0269
14,2.9202,2.1351,0.3319,3.0352
15,2.8828,2.0869,0.369,3.0445
16,2.8443,2.0364,0.4106,3.0547
17,2.8049,1.9838,0.4562,3.0659
18,2.7649,1.9293,0.5052,3.078
19,2.7245,1.8732,0.5571,3.091
20,2.684,1.8155,0.6115,3.1051
21,2.6437,1.7564,0.668,3.12
22,2.6038,1.6962,0.7262,3.1359
23,2.5645,1.635,0.786,3.1525
24,2.5263,1.573,0.847,3.17
25,2.4892,1.5103,0.909,3.1881
26,2.4536,1.4471,0.9717,3.2069
27,2.4197,1.3836,1.0349,3.2261
28,2.3877,1.3199,1.0984,3.2458
29,2.358,1.2563,1.1619,3.2657
30,2.3307,1.1928,1.2254,3.2858
31,2.3059,1.1296,1.2886,3.3058
32,2.284,1.0668,1.3512,3.3257
33,2.2651,1.0047,1.4132,3.3453
34,2.2492,0.9433,1.4743,3.3643
35,2.2366,0.8828,1.5344,3.3827
36,2.2273,0.8234,1.5932,3.4003
37,2.2213,0.7651,1.6507,3.4168
38,2.2188,0.7081,1.7066,3.432
39,2.2197,0.6526,1.7608,3.4458
40,2.2241,0.5987,1.8131,3.458
41,2.2318,0.5466,1.8634,3.4684
42,2.2429,0.4965,1.9116,3.4766
43,2.2572,0.4489,1.9574,3.4827
44,2.2747,0.4039,2.0008,3.4862
45,2.2954,0.3624,2.0416,3.4871
46,2.319,0.3251,2.0798,3.485
