Frame,Pillar1,Pillar2,Pillar3
1,-10.0612,-51.3031,62.0005
2,-10.046,-51.8198,62.081
3,-10.0015,-53.3131,62.3178
4,-9.9296,-55.6543,62.7042
5,-9.8328,-58.6568,63.2334
6,-9.7137,-62.0841,63.8986
7,-9.5752,-65.6755,64.6927
8,-9.4202,-69.1839,65.6087
9,-9.2514,-72.4097,66.6397
10,-9.0718,-75.2193,67.7785
11,-8.8837,-77.5444,69.0178
12,-8.6893,-79.3679,70.3505
13,-8.4902,-80.7079,71.7692
14,-8.2877,-81.6017,73.2665
15,-8.0825,-82.095,74.8348
16,-7.8745,-82.2351,76.4665
17,-7.6635,-82.0675,78.1538
18,-7.4483,-81.6336,79.8887
19,-7.2274,-80.9704,81.663
20,-6.999,-80.1107,83.4684
21,-6.761,-79.0834,85.2962
22,-6.5108,-77.9138,87.1373
23,-6.2464,-76.6244,88.9822
24,-5.9654,-75.2352,90.8208
25,-5.6664,-73.764,92.6424
26,-5.3479,-72.2271,94.4354
27,-5.0095,-70.6391,96.1869
28,-4.6517,-69.0137,97.8828
29,-4.2765,-67.3632,99.5068
30,-3.8871,-65.6995,101.04
31,-3.4893,-64.0335,102.4601
32,-3.092,-62.3757,103.7398
33,-2.7086,-60.7359,104.8448
34,-2.3605,-59.1236,105.7311
35,-2.0784,-57.5479,106.3399
36,-1.9025,-56.0176,106.5912
37,1.8683,-54.5413,106.371
38,1.983,-53.1273,105.5137
39,2.2174,-51.7837,103.7706
40,2.5288,-50.5183,100.7623
41,2.8799,-49.339,95.9164
42,3.2429,-48.2534,88.4424
43,3.5987,-47.2689,77.5762
44,3.9329,-46.3929,63.5601
45,4.2344,-45.6325,48.8735
46,4.4946,-44.995,36.9704
47,4.7059,-44.4873,29.3155
48,4.862,-44.1163,25.1945
49,4.9577,-43.8887,23.2761
50,4.9884,-43.8111,22.6046
51,4.7218,-44.1361,23.8057
52,3.9486,-45.0847,33.2421
53,2.7501,-46.6083,46.5849
54,1.6066,-48.6581,55.3924
55,-2.5353,-51.195,59.3276
56,-5.1041,-54.1974,60.1816
57,-8.3206,-57.6658,59.3004
58,-12.0078,-61.6233,57.5537
59,-16.1007,-66.1131,55.5759
60,-20.5592,-71.1898,53.9507
61,-25.0753,-76.5499,53.1895
62,-29.3605,-81.8595,53.3353
63,-33.4178,-87.1294,54.3078
64,-37.2509,-92.3721,55.9813
65,-40.8641,-97.601,58.1844
66,-44.2617,-102.8307,60.7138
67,-47.4478,-108.076,63.3623
68,-50.4268,-113.3514,65.9476
69,-53.2027,-118.6697,68.3346
70,-55.7794,-124.0416,70.4415
71,-58.1607,-129.4735,72.2348
72,-60.3499,-134.9664,73.7167
73,-62.3499,-140.5143,74.9116
74,-64.1632,-146.1023,75.8555
75,-65.7917,-151.7065,76.5879
76,-67.2363,-157.2929,77.1476
77,-68.497,-162.8187,77.5702
78,-69.5727,-168.2307,77.8866
79,-70.4604,-173.4511,78.1231
80,-71.1551,-178.0788,78.3015
81,-71.6492,176.1735,78.4397
82,-71.9314,171.7388,78.5519
83,-71.9857,167.4949,78.6493
84,-71.79,163.543,78.7406
85,-71.3138,159.9047,78.832
86,-70.5156,156.5844,78.9281
87,-69.339,153.5781,79.0317
88,-67.7084,150.8762,79.1444
89,-65.5241,148.466,79.2663
90,-62.66,146.3327,79.397
91,-58.9697,144.4608,79.5346
92,-54.3178,142.8348,79.6771
93,-48.6681,141.4396,79.8213
94,-42.2629,140.2611,79.9635
95,-35.8569,139.2867,80.0994
96,-30.7237,138.5051,80.2243
97,-27.9607,137.9069,80.3328
98,-27.4406,137.4845,80.4189
99,27.986,137.2327,80.4761
100,28.5298,137.1484,80.4972
101,28.5672,137.4511,80.774
102,28.0149,138.3467,81.5906
103,26.9808,139.8139,82.9274
104,25.6123,141.8305,84.7647
105,24.0821,144.3741,87.0826
106,22.5874,147.4218,89.861
107,21.363,150.9496,93.0799
108,20.6871,154.9327,96.719
109,20.8509,159.3441,100.7581
110,22.075,164.151,105.1768
111,24.4308,169.301,109.9551
112,27.8442,174.6165,115.0726
113,32.1685,-177.3594,120.5092
114,37.2514,-172.2382,126.2449
115,42.9641,-165.8578,132.2596
116,49.2053,-159.1037,138.5335
117,55.896,-152.0774,145.0462
118,62.9732,-144.8232,151.7774
119,70.385,-137.3743,158.7051
120,78.087,-129.7609,165.8015
121,86.0403,-122.0122,173.003
122,94.2094,-114.158,-178.357
123,102.5617,-106.2285,-171.6943
124,111.0659,-98.255,-164.0955
125,119.6923,-90.2704,-156.3637
126,128.4114,-82.3092,-148.5499
127,137.1937,-74.4091,-140.6796
128,146.0078,-66.611,-132.7743
129,154.8164,-58.9615,-124.8538
130,163.5584,-51.5149,-116.9379
131,172.021,-44.3379,-109.0463
132,-176.4927,-37.5178,-101.1986
133,-169.3909,-31.1767,-93.4149
134,-161.0519,-25.4987,-85.7152
135,-152.7109,-20.7732,-78.12
136,-144.4907,-17.4271,-70.6502
137,-136.4389,-15.906,-63.3267
138,-128.5889,-16.2696,-56.1711
139,-120.9695,17.9929,-49.2054
140,-113.6071,20.3917,-42.4518
141,-106.5283,23.0015,-35.9342
142,-99.7589,25.6226,-29.6776
143,-93.3245,28.27,-23.7095
144,-87.2509,-31.1261,-18.0648
145,-81.5641,-34.4656,-12.7965
146,-76.29,-38.5205,-8.0254
147,-71.4547,-43.3365,-4.2549
148,-67.0846,-48.7441,3.8161
149,-63.2064,-54.4734,6.6023
150,-59.8469,-60.2996,9.7606
151,-56.8557,-65.8421,12.8053
152,-54.061,-70.7019,15.7711
153,-51.4583,-74.8143,18.6281
154,-49.0433,-78.2116,21.3646
155,-46.8114,-80.9739,23.9759
156,-44.7581,-83.1963,26.4605
157,-42.8785,-84.9711,28.8183
158,-41.168,-86.3804,31.0501
159,-39.6218,-87.4939,33.1572
160,-38.2347,-88.3695,35.1412
161,-37.0017,-89.0549,37.0041
162,-35.9175,-89.5892,38.7478
163,-34.9766,-90.0041,40.3745
164,-34.1735,-90.3259,41.8865
165,-33.5026,-90.576,43.2859
166,-32.9581,-90.7719,44.5751
167,-32.534,-90.9281,45.7564
168,-32.2244,-91.0565,46.8323
169,-32.0231,-91.1668,47.8049
170,-31.924,-91.2671,48.6767
171,-31.9207,-91.3638,49.4501
172,-32.007,-91.4621,50.1275
173,-32.1767,-91.5663,50.7109
174,-32.4232,-91.6796,51.2031
175,-32.7403,-91.8045,51.6061
176,-33.1216,-91.9428,51.9223
177,-33.5608,-92.0958,52.1544
178,-34.0516,-92.2641,52.3046
179,-34.5878,-92.4481,52.3755
180,-35.1632,-92.6476,52.3701
181,-35.7718,-92.8623,52.2912
182,-36.4078,-93.0914,52.1422
183,-37.065,-93.3338,51.9273
184,-37.7378,-93.5883,51.6512
185,-38.4205,-93.8534,51.3195
186,-39.1075,-94.1274,50.9395
187,-39.7935,-94.4087,50.5203
188,-40.4728,-94.695,50.0735
189,-41.1403,-94.9843,49.6142
190,-41.7908,-95.2744,49.1613
191,-42.4189,-95.5627,48.7393
192,-43.0197,-95.847,48.3783
193,-43.5878,-96.1245,48.1153
194,-44.1184,-96.3926,47.994
195,-44.6061,-96.6485,48.0635
196,-45.046,-96.8894,48.376
197,-45.4326,-97.1123,48.9822
198,-45.761,-97.3143,49.9248
199,-46.0255,-97.4922,51.2323
200,-46.2207,-97.6431,52.9132
201,-46.3462,-97.8464,55.7359
202,-46.4095,-98.1817,60.5114
203,-46.4154,-98.6469,67.1854
204,-46.3685,-99.2425,75.3856
205,-46.272,-99.9706,84.3035
206,-46.1289,-100.8347,92.9201
207,-45.9414,-101.8397,100.4583
208,-45.711,-102.9913,106.6157
209,-45.4389,-104.2956,111.4588
210,-45.1257,-105.7592,115.214
211,-44.7714,-107.3883,118.1279
212,-44.3756,-109.1879,120.4107
213,-43.9371,-111.1619,122.2249
214,-43.4543,-113.3118,123.6906
215,-42.9246,-115.6356,124.8955
216,-42.3447,-118.1276,125.903
217,-41.7104,-120.7769,126.7595
218,-41.0162,-123.5672,127.4988
219,-40.2556,-126.4767,128.1459
220,-39.4208,-129.4776,128.7191
221,-38.5022,-132.5375,129.2326
222,-37.4892,-135.6208,129.6963
223,-36.3703,-138.6898,130.1183
224,-35.1338,-141.7069,130.5044
225,-33.771,-144.6369,130.859
226,-32.2806,-147.4481,131.1855
227,-30.6792,-150.114,131.486
228,-29.0202,-152.6128,131.7626
229,-27.4273,-154.9286,132.0164
230,-26.143,-157.0505,132.2483
231,-25.566,-158.9718,132.4587
232,-26.1945,-160.6893,132.6481
233,28.3859,-162.2021,132.8163
234,32.0708,-163.5116,132.9633
235,36.7283,-164.6194,133.0888
236,41.6259,-165.5277,133.1925
237,46.0764,-166.2377,133.2741
238,49.572,-166.7494,133.333
239,51.7946,-167.0606,133.3687
240,52.5617,-167.1661,133.3807
241,52.5617,-167.1661,133.3807
242,52.5617,-167.1661,133.3807
243,52.5617,-167.1661,133.3807
244,52.5617,-167.1661,133.3807
245,52.5617,-167.1661,133.3807
246,52.5617,-167.1661,133.3807
247,52.5617,-167.1661,133.3807
248,52.5617,-167.1661,133.3807
249,52.5617,-167.1661,133.3807
250,52.5617,-167.1661,133.3807
