Frame,Pillar1,Pillar2,Pillar3
191,1.4121,1.0444,0.2527
192,1.4158,1.0624,0.2342
193,1.4192,1.0791,0.2169
194,1.4221,1.0947,0.2009
195,1.4244,1.1089,0.1863
196,1.4262,1.1217,0.173
197,1.4273,1.1332,0.1611
198,1.4277,1.1431,0.1506
199,1.4274,1.1514,0.1415
200,1.4263,1.1582,0.1339
201,1.4223,1.162,0.1277
202,1.4135,1.1619,0.123
203,1.4001,1.1582,0.121
204,1.3825,1.1512,0.1228
205,1.3608,1.1412,0.1299
206,1.3353,1.1285,0.143
207,1.3063,1.1135,0.1622
208,1.2739,1.0966,0.1871
209,1.2386,1.0781,0.217
210,1.2004,1.0584,0.2511
211,1.1597,1.038,0.2887
212,1.1168,1.0172,0.3295
213,1.0718,0.9964,0.3728
214,1.0252,0.9762,0.4184
215,0.977,0.9569,0.4658
216,0.9277,0.939,0.5147
217,0.8775,0.9227,0.5648
218,0.8266,0.9086,0.6158
219,0.7753,0.8968,0.6675
220,0.724,0.8877,0.7194
221,0.6729,0.8814,0.7715
222,0.6222,0.8779,0.8233
223,0.5724,0.8774,0.8746
224,0.5238,0.8797,0.9252
225,0.4766,0.8846,0.9747
226,0.4313,0.8919,1.023
227,0.3882,0.9013,1.0697
228,0.3477,0.9123,1.1146
229,0.3104,0.9247,1.1574
230,0.2766,0.938,1.1979
231,0.2469,0.9518,1.2358
232,0.2217,0.9656,1.2707
233,0.2014,0.9791,1.3026
234,0.1861,0.9918,1.3311
235,0.1755,1.0033,1.3559
236,0.1689,1.0134,1.3767
237,0.1654,1.0217,1.3934
238,0.1639,1.0279,1.4057
239,0.1634,1.0317,1.4132
240,0.1633,1.033,1.4158
241,0.1633,1.033,1.4158
242,0.1633,1.033,1.4158
243,0.1633,1.033,1.4158
244,0.1633,1.033,1.4158
245,0.1633,1.033,1.4158
246,0.1633,1.033,1.4158
247,0.1633,1.033,1.4158
248,0.1633,1.033,1.4158
249,0.1633,1.033,1.4158
250,0.1633,1.033,1.4158
