Frame,Pillar1,Pillar2,Pillar3,Pillar4
1,1.5763,0.9265,1.02,0.0951
2,1.5758,0.9265,1.0191,0.0954
3,1.5746,0.9266,1.0167,0.0963
4,1.5727,0.9267,1.0126,0.0979
5,1.57,0.9269,1.007,0.1002
6,1.5665,0.9272,1,0.1036
7,1.5624,0.9276,0.9916,0.1081
8,1.5577,0.9281,0.9818,0.1139
9,1.5523,0.9287,0.9707,0.1211
10,1.5464,0.9295,0.9584,0.1298
11,1.5399,0.9306,0.945,0.1399
12,1.533,0.9318,0.9304,0.1515
13,1.5256,0.9334,0.9148,0.1645
14,1.5178,0.9352,0.8981,0.1788
15,1.5097,0.9374,0.8806,0.1944
16,1.5012,0.9399,0.8621,0.2111
17,1.4924,0.9429,0.8428,0.2289
18,1.4834,0.9462,0.8228,0.2477
19,1.4742,0.95,0.802,0.2673
20,1.4648,0.9542,0.7806,0.2878
21,1.4553,0.9589,0.7586,0.309
22,1.4457,0.964,0.7361,0.3308
23,1.436,0.9696,0.7131,0.3532
24,1.4263,0.9756,0.6896,0.3761
25,1.4166,0.9821,0.6658,0.3994
26,1.4069,0.989,0.6417,0.4231
27,1.3972,0.9963,0.6173,0.4471
28,1.3875,1.004,0.5927,0.4713
29,1.378,1.012,0.5679,0.4957
30,1.3684,1.0203,0.543,0.5202
31,1.359,1.0288,0.5181,0.5447
32,1.3496,1.0376,0.4931,0.5693
33,1.3403,1.0465,0.4682,0.5937
34,1.3311,1.0555,0.4434,0.618
35,1.3219,1.0646,0.4187,0.6421
36,1.3128,1.0736,0.3941,0.6659
37,1.3036,1.0826,0.3698,0.6895
38,1.2945,1.0915,0.3458,0.7126
39,1.2853,1.1001,0.322,0.7354
40,1.2761,1.1085,0.2986,0.7577
41,1.2668,1.1165,0.2756,0.7794
42,1.2574,1.1241,0.253,0.8006
43,1.2477,1.1313,0.2309,0.8211
44,1.2379,1.1379,0.2093,0.841
45,1.2278,1.1439,0.1883,0.8601
46,1.2174,1.1491,0.168,0.8785
47,1.2066,1.1537,0.1485,0.896
48,1.1954,1.1573,0.1299,0.9127
49,1.1837,1.1601,0.1127,0.9284
50,1.1716,1.1619,0.0972,0.9433
51,1.1588,1.1627,0.0842,0.9571
52,1.1457,1.1628,0.0746,0.9703
53,1.1326,1.1627,0.0691,0.9831
54,1.1195,1.1624,0.0684,0.9955
55,1.1065,1.1619,0.0726,1.0076
56,1.0934,1.1612,0.0807,1.0193
57,1.0803,1.1603,0.0915,1.0307
58,1.0671,1.1593,0.1041,1.0418
59,1.0539,1.158,0.1178,1.0525
60,1.0407,1.1565,0.1322,1.0629
61,1.0275,1.1548,0.1471,1.0731
62,1.0142,1.1529,0.1622,1.0829
63,1.0009,1.1508,0.1774,1.0924
64,0.9875,1.1485,0.1928,1.1017
65,0.9741,1.146,0.2081,1.1107
66,0.9606,1.1434,0.2235,1.1195
67,0.9471,1.1405,0.2388,1.1279
68,0.9335,1.1375,0.254,1.1362
69,0.9199,1.1343,0.2692,1.1442
70,0.9063,1.131,0.2844,1.152
71,0.8925,1.1274,0.2994,1.1595
72,0.8788,1.1238,0.3144,1.1669
73,0.865,1.1199,0.3294,1.174
74,0.8511,1.116,0.3442,1.181
75,0.8372,1.1119,0.359,1.1878
76,0.8232,1.1076,0.3737,1.1944
77,0.8093,1.1033,0.3883,1.2008
78,0.7952,1.0988,0.4029,1.207
79,0.7812,1.0942,0.4173,1.2131
80,0.7671,1.0895,0.4317,1.2191
81,0.753,1.0847,0.4461,1.2249
82,0.7388,1.0798,0.4603,1.2305
83,0.7246,1.0749,0.4745,1.2361
84,0.7105,1.0698,0.4886,1.2415
85,0.6963,1.0647,0.5027,1.2468
86,0.6821,1.0595,0.5166,1.252
87,0.6679,1.0543,0.5305,1.257
88,0.6537,1.049,0.5444,1.262
89,0.6395,1.0437,0.5581,1.2669
90,0.6253,1.0384,0.5718,1.2717
91,0.6112,1.033,0.5854,1.2764
92,0.597,1.0276,0.5989,1.281
93,0.5829,1.0222,0.6123,1.2855
94,0.5689,1.0168,0.6257,1.29
95,0.5548,1.0114,0.6389,1.2944
96,0.5409,1.006,0.6521,1.2987
97,0.527,1.0007,0.6652,1.303
98,0.5131,0.9953,0.6782,1.3072
99,0.4993,0.99,0.6911,1.3113
100,0.4856,0.9847,0.7038,1.3154
101,0.472,0.9795,0.7165,1.3194
102,0.4585,0.9743,0.7291,1.3234
103,0.4451,0.9692,0.7415,1.3273
104,0.4318,0.9641,0.7539,1.3312
105,0.4186,0.9591,0.7661,1.335
106,0.4055,0.9541,0.7782,1.3388
107,0.3925,0.9493,0.7901,1.3425
108,0.3797,0.9445,0.802,1.3462
109,0.3671,0.9398,0.8136,1.3499
110,0.3546,0.9352,0.8252,1.3535
111,0.3423,0.9307,0.8365,1.357
112,0.3301,0.9262,0.8478,1.3605
113,0.3181,0.9219,0.8588,1.3639
114,0.3064,0.9177,0.8697,1.3673
115,0.2948,0.9136,0.8804,1.3707
116,0.2835,0.9095,0.8909,1.374
117,0.2723,0.9056,0.9012,1.3772
118,0.2614,0.9019,0.9114,1.3804
119,0.2508,0.8982,0.9213,1.3835
120,0.2404,0.8946,0.931,1.3865
121,0.2303,0.8912,0.9405,1.3895
122,0.2205,0.8878,0.9498,1.3925
123,0.211,0.8846,0.9589,1.3953
124,0.2017,0.8815,0.9677,1.3981
125,0.1928,0.8785,0.9763,1.4008
126,0.1843,0.8756,0.9846,1.4035
127,0.176,0.8729,0.9927,1.406
128,0.1681,0.8702,1.0005,1.4085
129,0.1606,0.8677,1.0081,1.4109
130,0.1535,0.8653,1.0153,1.4132
131,0.1468,0.863,1.0223,1.4154
132,0.1404,0.8608,1.029,1.4176
133,0.1345,0.8588,1.0354,1.4196
134,0.129,0.8568,1.0415,1.4215
135,0.1239,0.855,1.0473,1.4234
136,0.1192,0.8533,1.0527,1.4251
137,0.1149,0.8516,1.0578,1.4267
138,0.1111,0.8501,1.0626,1.4282
139,0.1077,0.8487,1.0671,1.4296
140,0.1046,0.8475,1.0712,1.4309
141,0.102,0.8463,1.0749,1.432
142,0.0997,0.8452,1.0783,1.4331
143,0.0977,0.8443,1.0813,1.434
144,0.0961,0.8435,1.0839,1.4348
145,0.0947,0.8428,1.0861,1.4355
146,0.0937,0.8422,1.088,1.436
147,0.0929,0.8417,1.0894,1.4365
148,0.0923,0.8414,1.0905,1.4368
149,0.092,0.8411,1.0911,1.437
150,0.0919,0.8411,1.0913,1.437
151,0.0926,0.8408,1.0904,1.4363
152,0.0949,0.8399,1.0877,1.4343
153,0.0987,0.8386,1.0833,1.4309
154,0.104,0.8367,1.0772,1.4263
155,0.1108,0.8345,1.0696,1.4204
156,0.1191,0.8318,1.0603,1.4134
157,0.1288,0.8289,1.0497,1.4054
158,0.1401,0.8257,1.0376,1.3963
159,0.1528,0.8224,1.0241,1.3862
160,0.1668,0.819,1.0094,1.3752
161,0.1822,0.8156,0.9934,1.3635
162,0.1988,0.8123,0.9763,1.3509
163,0.2166,0.8092,0.9581,1.3377
164,0.2354,0.8063,0.9389,1.3238
165,0.2554,0.8038,0.9186,1.3094
166,0.2763,0.8017,0.8975,1.2945
167,0.2981,0.8001,0.8755,1.2791
168,0.3208,0.7991,0.8527,1.2635
169,0.3442,0.7987,0.8292,1.2475
170,0.3683,0.7991,0.805,1.2314
171,0.3931,0.8003,0.7802,1.2151
172,0.4185,0.8023,0.7549,1.1988
173,0.4444,0.8051,0.7292,1.1826
174,0.4707,0.8089,0.703,1.1664
175,0.4974,0.8136,0.6765,1.1503
176,0.5244,0.8192,0.6497,1.1345
177,0.5517,0.8257,0.6227,1.1191
178,0.5792,0.8331,0.5955,1.1039
179,0.6069,0.8414,0.5683,1.0892
180,0.6345,0.8506,0.541,1.075
181,0.6623,0.8605,0.5139,1.0613
182,0.6899,0.8712,0.4868,1.0482
183,0.7174,0.8826,0.4599,1.0358
184,0.7448,0.8946,0.4334,1.024
185,0.7719,0.9072,0.4071,1.0129
186,0.7987,0.9202,0.3813,1.0025
187,0.8251,0.9337,0.356,0.9929
188,0.8512,0.9474,0.3314,0.9841
189,0.8767,0.9614,0.3073,0.976
190,0.9016,0.9756,0.2841,0.9686
191,0.926,0.9898,0.2618,0.9621
192,0.9497,1.004,0.2405,0.9562
193,0.9726,1.018,0.2203,0.9511
194,0.9948,1.0319,0.2013,0.9467
195,1.016,1.0455,0.1838,0.9429
196,1.0364,1.0588,0.1679,0.9397
197,1.0557,1.0716,0.1538,0.9371
198,1.0741,1.0839,0.1415,0.9349
199,1.0913,1.0957,0.1313,0.9333
200,1.1073,1.1067,0.1232,0.932
201,1.1221,1.117,0.1172,0.9311
202,1.1356,1.1265,0.1131,0.9304
203,1.1478,1.1351,0.1108,0.93
204,1.1585,1.1428,0.1098,0.9298
205,1.1677,1.1494,0.1097,0.9296
206,1.1754,1.155,0.1103,0.9296
207,1.1815,1.1594,0.1111,0.9297
208,1.186,1.1626,0.1119,0.9297
209,1.1887,1.1646,0.1125,0.9298
210,1.1896,1.1653,0.1127,0.9298
211,1.1895,1.1652,0.1126,0.9299
212,1.1892,1.1652,0.1123,0.9301
213,1.1888,1.1652,0.1118,0.9305
214,1.1882,1.1652,0.1112,0.9311
215,1.1874,1.1651,0.1104,0.9318
216,1.1865,1.1651,0.1094,0.9326
217,1.1855,1.165,0.1083,0.9335
218,1.1844,1.1649,0.1072,0.9345
219,1.1832,1.1649,0.1059,0.9357
220,1.1819,1.1648,0.1046,0.9368
221,1.1806,1.1647,0.1032,0.9381
222,1.1792,1.1646,0.1017,0.9394
223,1.1778,1.1646,0.1003,0.9407
224,1.1763,1.1645,0.0988,0.9421
225,1.1749,1.1644,0.0974,0.9435
226,1.1734,1.1644,0.0959,0.9448
227,1.172,1.1643,0.0945,0.9462
228,1.1705,1.1642,0.0931,0.9475
229,1.1692,1.1642,0.0918,0.9489
230,1.1678,1.1641,0.0906,0.9501
231,1.1666,1.1641,0.0894,0.9513
232,1.1654,1.1641,0.0884,0.9525
233,1.1643,1.164,0.0874,0.9535
234,1.1633,1.164,0.0865,0.9544
235,1.1625,1.164,0.0857,0.9553
236,1.1617,1.164,0.0851,0.956
237,1.1611,1.164,0.0846,0.9566
238,1.1607,1.1639,0.0842,0.957
239,1.1604,1.1639,0.084,0.9573
240,1.1603,1.1639,0.0839,0.9574
241,1.1603,1.1639,0.0839,0.9574
242,1.1603,1.1639,0.0839,0.9574
243,1.1603,1.1639,0.0839,0.9574
244,1.1603,1.1639,0.0839,0.9574
245,1.1603,1.1639,0.0839,0.9574
246,1.1603,1.1639,0.0839,0.9574
247,1.1603,1.1639,0.0839,0.9574
248,1.1603,1.1639,0.0839,0.9574
249,1.1603,1.1639,0.0839,0.9574
250,1.1603,1.1639,0.0839,0.9574
